0.336456298828125+0i,412.120855592507+4.99365498259922e-09i
0.67291259765625+0i,412.120855381481+1.49472856045136e-08i
1.00936889648438+0i,412.120854768122+3.23151206304135e-08i
1.3458251953125+0i,412.120853591964+5.73036805115148e-08i
1.68228149414062+0i,412.120851913703+9.24029093915702e-08i
2.01873779296875+0i,412.120850040549+1.45266279383854e-07i
2.35519409179688+0i,412.120848410955+2.27288572494365e-07i
2.691650390625+0i,412.120847352352+3.47010809179175e-07i
3.02810668945312+0i,412.120846973347+4.99882349911521e-07i
3.36456298828125+0i,412.120847125414+6.57533927846954e-07i
3.70101928710938+0i,412.120847465642+7.61991556684609e-07i
4.0374755859375+0i,412.120847685751+7.27875867616182e-07i
4.37393188476562+0i,412.120847608581+4.62176402064723e-07i
4.71038818359375+0i,412.120847242285-8.38575866060494e-08i
5.04684448242188+0i,412.120846724114-8.65345895172428e-07i
5.38330078125+0i,412.120846235478-1.70957955812244e-06i
5.71975708007812+0i,412.120845916591-2.34021142090098e-06i
6.05621337890625+0i,412.120845844773-2.45968999132578e-06i
6.39266967773438+0i,412.120846048288-1.87832316897292e-06i
6.7291259765625+0i,412.120846579116-6.05082284596612e-07i
7.06558227539062+0i,412.120847538807+1.0883559433937e-06i
7.40203857421875+0i,412.120849031733+2.67217555213137e-06i
7.73849487304688+0i,412.120851096463+3.40705550853176e-06i
8.074951171875+0i,412.12085382276+2.46500084160074e-06i
8.41140747070312+0i,412.120857577595-8.89967747140326e-07i
8.74786376953125+0i,412.120863411687-6.9655232473447e-06i
9.08432006835938+0i,412.120873127157-1.53665222336101e-05i
9.4207763671875+0i,412.120888780884-2.49251351772446e-05i
9.75723266601562+0i,412.120911620629-3.39134005559959e-05i
10.0936889648438+0i,412.120940892073-4.08200423424722e-05i
10.4301452636719+0i,412.120973659593-4.49808154658702e-05i
10.7666015625+0i,412.12100614909-4.70557845394884e-05i
11.1030578613281+0i,412.121036396102-4.91256810983584e-05i
11.4395141601562+0i,412.121067241093-5.45479677814556e-05i
