0.336456298828125+0i,411.127159857598-8.66414604036648e-10i
0.67291259765625+0i,411.127159680882-1.92198874538535e-09i
1.00936889648438+0i,411.12715940258-3.30609675927734e-09i
1.3458251953125+0i,411.127159038409-5.11860069182972e-09i
1.68228149414062+0i,411.127158605052-7.3957852028669e-09i
2.01873779296875+0i,411.127158141126-1.002949834176e-08i
2.35519409179688+0i,411.127157679798-1.27931340159401e-08i
2.691650390625+0i,411.127157229925-1.55259862617119e-08i
3.02810668945312+0i,411.127156816351-1.80054632895788e-08i
3.36456298828125+0i,411.127156440018-2.01726900993136e-08i
3.70101928710938+0i,411.127156088258-2.21084761542357e-08i
4.0374755859375+0i,411.127155742989-2.40201799649303e-08i
4.37393188476562+0i,411.127155408969-2.60503449957681e-08i
4.71038818359375+0i,411.127155113899-2.81995533284046e-08i
5.04684448242188+0i,411.127154940757-3.00831990691821e-08i
5.38330078125+0i,411.127154958763-3.14445872246297e-08i
5.71975708007812+0i,411.12715524251-3.19308896640285e-08i
6.05621337890625+0i,411.127155821285-3.12847339636319e-08i
6.39266967773438+0i,411.127156633412-2.99145983895305e-08i
6.7291259765625+0i,411.127157586485-2.81742067191017e-08i
7.06558227539062+0i,411.127158540599-2.65806924311945e-08i
7.40203857421875+0i,411.127159369961-2.55067241839794e-08i
7.73849487304688+0i,411.127159995921-2.4862158892786e-08i
8.074951171875+0i,411.12716040757-2.42698250226547e-08i
8.41140747070312+0i,411.127160664429-2.28820946532402e-08i
8.74786376953125+0i,411.127160846857-2.00519005190056e-08i
9.08432006835938+0i,411.127161042255-1.52810066824434e-08i
9.4207763671875+0i,411.127161295055-8.7644690770227e-09i
9.75723266601562+0i,411.127161594623-1.45150197522895e-09i
10.0936889648438+0i,411.127161849336+4.53115961175944e-09i
10.4301452636719+0i,411.127161904924+5.93006564804032e-09i
10.7666015625+0i,411.127161574471-1.1163491598688e-09i
11.1030578613281+0i,411.127160702803-2.02278271513242e-08i
11.4395141601562+0i,411.127159246222-5.29971136957602e-08i
11.7759704589844+0i,411.127157349848-9.76046070385818e-08i
12.1124267578125+0i,411.127155345849-1.4790957482176e-07i
12.4488830566406+0i,411.127153712297-1.94070260991977e-07i
12.7853393554688+0i,411.127152955958-2.24147532251699e-07i
13.1217956542969+0i,411.127153382006-2.28885301120418e-07i
13.458251953125+0i,411.127154965084-2.04684807450187e-07i
13.7947082519531+0i,411.127157303588-1.55681246145252e-07i
14.1311645507812+0i,411.127159696838-9.33316527039502e-08i
14.4676208496094+0i,411.127161395175-3.26914892058628e-08i
14.8040771484375+0i,411.127161859728+1.2618814779512e-08i
15.1405334472656+0i,411.127160993708+3.49591672749077e-08i
15.4769897460938+0i,411.127159185883+3.54935518630567e-08i
15.8134460449219+0i,411.127157154607+2.20642971112276e-08i
16.14990234375+0i,411.127155634613+4.5366681864011e-09i
16.4863586425781+0i,411.127155101501-1.03808201108092e-08i
16.8228149414062+0i,411.127155572557-2.31915650754391e-08i
17.1592712402344+0i,411.127156660597-4.00496242617539e-08i
17.4957275390625+0i,411.127157789171-6.93134930354044e-08i
17.8321838378906+0i,411.127158504677-1.14772289648984e-07i
