0.336456298828125+0i,411.860045820177-8.59565924389759e-12i
0.67291259765625+0i,411.860045801003-3.21271809393784e-11i
1.00936889648438+0i,411.860045776967-7.72135408160112e-11i
1.3458251953125+0i,411.860045755704-1.38572789600195e-10i
1.68228149414062+0i,411.860045744627-2.00819219409632e-10i
2.01873779296875+0i,411.860045745163-2.4956931150604e-10i
2.35519409179688+0i,411.860045756613-2.71291885554133e-10i
2.691650390625+0i,411.860045775062-2.6509671292855e-10i
3.02810668945312+0i,411.8600457948-2.40316276422476e-10i
3.36456298828125+0i,411.860045811919-2.13253190837261e-10i
3.70101928710938+0i,411.860045824709-1.94713106558843e-10i
4.0374755859375+0i,411.860045832774-1.88600768002169e-10i
4.37393188476562+0i,411.860045837252-1.86575870284758e-10i
4.71038818359375+0i,411.860045839829-1.68203567184805e-10i
5.04684448242188+0i,411.860045841222-1.22595998011061e-10i
5.38330078125+0i,411.860045840264-5.94964499994314e-11i
5.71975708007812+0i,411.860045831023-3.01361124631983e-11i
6.05621337890625+0i,411.860045801599-2.40706059318e-10i
6.39266967773438+0i,411.860045734635-9.05482153605743e-10i
6.7291259765625+0i,411.860045610577-2.25816191852025e-09i
7.06558227539062+0i,411.860045413533-4.506717109629e-09i
7.40203857421875+0i,411.860045139703-7.69882083978056e-09i
7.73849487304688+0i,411.860044803584-1.14600752762633e-08i
8.074951171875+0i,411.860044436444-1.54894233926595e-08i
8.41140747070312+0i,411.860044079083-1.91659773287879e-08i
8.74786376953125+0i,411.860043778374-2.20912380873507e-08i
9.08432006835938+0i,411.860043565405-2.37573528798524e-08i
9.4207763671875+0i,411.860043435079-2.45629138281488e-08i
9.75723266601562+0i,411.860043369643-2.4696043274274e-08i
10.0936889648438+0i,411.860043323631-2.45361951053864e-08i
10.4301452636719+0i,411.860043230942-2.51566515422104e-08i
10.7666015625+0i,411.86004305338-2.68370449181302e-08i
11.1030578613281+0i,411.860042769722-2.96287650618427e-08i
11.4395141601562+0i,411.860042382842-3.35782176000951e-08i
11.7759704589844+0i,411.860041924338-3.83171164109672e-08i
12.1124267578125+0i,411.860041440756-4.39531809491544e-08i
12.4488830566406+0i,411.86004098762-5.03981452318006e-08i
12.7853393554688+0i,411.860040602624-5.75190761080317e-08i
13.1217956542969+0i,411.860040295984-6.65153445063688e-08i
13.458251953125+0i,411.860040068033-7.68855211371398e-08i
13.7947082519531+0i,411.860039882864-9.00155109132008e-08i
