0.336456298828125+0i,411.953545571827-8.54265659432419e-13i
0.67291259765625+0i,411.953545572-1.7330903197947e-12i
1.00936889648438+0i,411.953545572337-2.02565718504456e-12i
1.3458251953125+0i,411.953545572494-2.32377705874253e-12i
1.68228149414062+0i,411.953545572561-4.21256515035677e-12i
2.01873779296875+0i,411.953545571629-1.53134875272682e-11i
2.35519409179688+0i,411.953545568285-4.5551857345608e-11i
2.691650390625+0i,411.953545559077-1.11748370121047e-10i
3.02810668945312+0i,411.953545539465-2.21451079304963e-10i
3.36456298828125+0i,411.953545503035-3.8709669257604e-10i
3.70101928710938+0i,411.95354544492-5.9757823906756e-10i
4.0374755859375+0i,411.953545360747-8.47303441339223e-10i
4.37393188476562+0i,411.953545254361-1.09967857033944e-09i
4.71038818359375+0i,411.953545133588-1.33473742359885e-09i
5.04684448242188+0i,411.953545013613-1.55704038406502e-09i
5.38330078125+0i,411.953544914217-1.75169686465937e-09i
5.71975708007812+0i,411.95354485096-1.91013269104228e-09i
6.05621337890625+0i,411.953544833156-1.99406335667483e-09i
6.39266967773438+0i,411.953544857427-1.88181824948508e-09i
6.7291259765625+0i,411.953544910359-1.52127912395882e-09i
7.06558227539062+0i,411.953544964761-6.92732905671425e-10i
7.40203857421875+0i,411.953544992923+7.21238272877655e-10i
7.73849487304688+0i,411.953544964453+2.5718147112146e-09i
8.074951171875+0i,411.953544856068+4.84100498009288e-09i
8.41140747070312+0i,411.953544665339+7.08310509640528e-09i
8.74786376953125+0i,411.953544399424+8.75953573215868e-09i
9.08432006835938+0i,411.953544084533+9.29448242191877e-09i
9.4207763671875+0i,411.953543743854+7.91615980749231e-09i
9.75723266601562+0i,411.953543403143+4.49643066757634e-09i
10.0936889648438+0i,411.953543078004-1.11185400810758e-09i
10.4301452636719+0i,411.95354275896-8.93933693237273e-09i
10.7666015625+0i,411.953542445241-1.8081088303396e-08i
11.1030578613281+0i,411.953542101145-2.85044328261724e-08i
11.4395141601562+0i,411.953541720608-3.87736122904267e-08i
11.7759704589844+0i,411.953541284213-4.86737586034304e-08i
12.1124267578125+0i,411.953540803784-5.81683740678754e-08i
12.4488830566406+0i,411.95354027565-6.73518233195554e-08i
12.7853393554688+0i,411.953539722469-7.64715591789414e-08i
13.1217956542969+0i,411.95353915712-8.65354998546418e-08i
13.458251953125+0i,411.953538584959-9.80109549117873e-08i
13.7947082519531+0i,411.95353801098-1.11867357070993e-07i
14.1311645507812+0i,411.953537421802-1.28205900107923e-07i
14.4676208496094+0i,411.953536812486-1.46350979845214e-07i
14.8040771484375+0i,411.953536175126-1.64754182149341e-07i
15.1405334472656+0i,411.953535515458-1.83336924997057e-07i
15.4769897460938+0i,411.953534835586-2.00063497357528e-07i
