0.336456298828125+0i,415.304365934901-5.82558870073055e-11i
0.67291259765625+0i,415.304365820574-2.31266427124603e-10i
1.00936889648438+0i,415.304365699594-5.24863853460068e-10i
1.3458251953125+0i,415.304365631243-8.22365584205769e-10i
1.68228149414062+0i,415.304365645739-9.66901180643183e-10i
2.01873779296875+0i,415.304365725158-9.03376329441256e-10i
2.35519409179688+0i,415.304365822011-7.22033776839886e-10i
2.691650390625+0i,415.304365890036-6.10994505741261e-10i
3.02810668945312+0i,415.304365919057-6.58666223173443e-10i
3.36456298828125+0i,415.304365933209-7.59100656626525e-10i
3.70101928710938+0i,415.304365957316-7.0567851798399e-10i
4.0374755859375+0i,415.304365977078-4.96420264478257e-10i
4.37393188476562+0i,415.304365901028-7.25081611996064e-10i
4.71038818359375+0i,415.304365567111-2.80104803590588e-09i
5.04684448242188+0i,415.30436480344-8.6479437844528e-09i
5.38330078125+0i,415.304363505863-1.99875036648097e-08i
5.71975708007812+0i,415.304361730847-3.73286491412756e-08i
6.05621337890625+0i,415.304359708808-5.92702076949572e-08i
6.39266967773438+0i,415.304357819008-8.22816385564411e-08i
6.7291259765625+0i,415.304356487758-1.01491366795611e-07i
7.06558227539062+0i,415.30435604678-1.12078003542116e-07i
7.40203857421875+0i,415.304356628778-1.1109525489819e-07i
7.73849487304688+0i,415.304358089676-9.84923277036124e-08i
8.074951171875+0i,415.304360138326-7.66290382726965e-08i
8.41140747070312+0i,415.304362279547-5.11058355365648e-08i
8.74786376953125+0i,415.304364092092-2.7579040365765e-08i
9.08432006835938+0i,415.304365283613-1.08524063265096e-08i
9.4207763671875+0i,415.304365780779-3.18296424956969e-09i
9.75723266601562+0i,415.304365726053-3.67761468555463e-09i
10.0936889648438+0i,415.304365400036-8.87787159364974e-09i
10.4301452636719+0i,415.30436511501-1.40832690346285e-08i
10.7666015625+0i,415.304365068209-1.56922460477192e-08i
11.1030578613281+0i,415.304365293863-1.25176046216875e-08i
11.4395141601562+0i,415.304365653663-6.57915898881366e-09i
11.7759704589844+0i,415.304365934927-1.74713220806464e-09i
12.1124267578125+0i,415.30436596817-1.64465154890054e-09i
12.4488830566406+0i,415.304365726633-7.32342699923069e-09i
12.7853393554688+0i,415.304365339551-1.64194693283103e-08i
13.1217956542969+0i,415.30436502012-2.42471956015422e-08i
13.458251953125+0i,415.304364917424-2.71515592129839e-08i
13.7947082519531+0i,415.304365044736-2.45324499888571e-08i
14.1311645507812+0i,415.304365278867-1.93340337265749e-08i
14.4676208496094+0i,415.304365423959-1.67011676299234e-08i
14.8040771484375+0i,415.304365371525-1.98210331741322e-08i
15.1405334472656+0i,415.304365175074-2.7286496801327e-08i
15.4769897460938+0i,415.304364986397-3.45134430930628e-08i
15.8134460449219+0i,415.304364947267-3.66057253886552e-08i
16.14990234375+0i,415.304364989493-3.49774746143199e-08i
16.4863586425781+0i,415.304364853367-3.74487868654685e-08i
16.8228149414062+0i,415.304364201684-5.56064210976044e-08i
17.1592712402344+0i,415.304362865851-9.67757744274775e-08i
17.4957275390625+0i,415.304361058303-1.55866258868885e-07i
17.8321838378906+0i,415.3043593466-2.15045401828295e-07i
18.1686401367188+0i,415.304358432631-2.49520200184646e-07i
18.5050964355469+0i,415.304358783761-2.4055163109853e-07i
18.841552734375+0i,415.304360291511-1.88121300603238e-07i
19.1780090332031+0i,415.304362260708-1.14256454524498e-07i
19.5144653320312+0i,415.304363732377-5.27144593746654e-08i
19.8509216308594+0i,415.304363937143-3.38352793935202e-08i
20.1873779296875+0i,415.304362712934-6.77845084525258e-08i
20.5238342285156+0i,415.30436058796-1.39520764346093e-07i
20.8602905273438+0i,415.304358556863-2.15134420321241e-07i
21.1967468261719+0i,415.304357563798-2.5971867986514e-07i
21.533203125+0i,415.304358071611-2.53787638303991e-07i
21.8696594238281+0i,415.304359860534-2.01787399924869e-07i
22.2061157226562+0i,415.304362192088-1.26768525945446e-07i
22.5425720214844+0i,415.304364200571-5.77769553465531e-08i
22.8790283203125+0i,415.304365236929-1.70723512243236e-08i
23.2154846191406+0i,415.304365155843-1.06893403330921e-08i
23.5519409179688+0i,415.304364261543-3.04807318503918e-08i
23.8883972167969+0i,415.304363099301-6.10198843551821e-08i
24.224853515625+0i,415.304362209708-8.72885613270971e-08i
24.5613098144531+0i,415.304361905883-9.98951904905557e-08i
24.8977661132812+0i,415.30436224573-9.57692177881002e-08i
25.2342224121094+0i,415.304363052408-7.74650734411338e-08i
25.5706787109375+0i,415.304364011549-5.23185497594042e-08i
25.9071350097656+0i,415.304364802682-3.03910238438483e-08i
26.2435913085938+0i,415.304365206602-2.19038815453067e-08i
26.5800476074219+0i,415.304365181469-3.25536750525824e-08i
26.91650390625+0i,415.304364874003-5.9418335569896e-08i
27.2529602050781+0i,415.304364585643-8.87763940600458e-08i
27.5894165039062+0i,415.304364574755-1.03904583519243e-07i
27.9258728027344+0i,415.304364936456-9.2745490101776e-08i
28.2623291015625+0i,415.304365491992-5.72680955693845e-08i
28.5987854003906+0i,415.304365832535-1.64837003976359e-08i
28.9352416992188+0i,415.304365517446+1.92227159863949e-09i
29.2716979980469+0i,415.304364332468-2.33459161061735e-08i
29.608154296875+0i,415.304362439843-9.4346781550794e-08i
29.9446105957031+0i,415.304360359942-1.89774527060756e-07i
30.2810668945312+0i,415.304358801919-2.72610281005148e-07i
30.6175231933594+0i,415.304358269954-3.10537865725148e-07i
30.9539794921875+0i,415.30435893801-2.88220843047821e-07i
31.2904357910156+0i,415.304360503046-2.1760217135698e-07i
31.6268920898438+0i,415.30436240544-1.28986936699638e-07i
31.9633483886719+0i,415.304364042276-5.64949078746022e-08i
32.2998046875+0i,415.30436506645-2.05120098739481e-08i
32.6362609863281+0i,415.304365439081-2.11460933669321e-08i
32.9727172851562+0i,415.304365376386-4.2022441282107e-08i
33.3091735839844+0i,415.304365162484-6.19097557360588e-08i
33.6456298828125+0i,415.304364989743-6.77331846853191e-08i
33.9820861816406+0i,415.304364914247-5.78750219966737e-08i
34.3185424804688+0i,415.304364869542-4.15979813590409e-08i
34.6549987792969+0i,415.304364779974-2.94780137695598e-08i
34.991455078125+0i,415.304364629553-2.69574631184499e-08i
35.3279113769531+0i,415.304364480949-3.1891272651279e-08i
35.6643676757812+0i,415.304364400238-3.84576380691554e-08i
