0.336456298828125+0i,410.709630363735-2.36145100031239e-11i
0.67291259765625+0i,410.709630371219-4.26532049954898e-11i
1.00936889648438+0i,410.70963038358-5.40535122268947e-11i
1.3458251953125+0i,410.709630397289-5.93107015162024e-11i
1.68228149414062+0i,410.709630411573-5.86818710571073e-11i
2.01873779296875+0i,410.709630423996-5.44499290514572e-11i
2.35519409179688+0i,410.70963043354-4.71062024383438e-11i
2.691650390625+0i,410.709630439256-3.79044631676563e-11i
3.02810668945312+0i,410.709630440799-2.64928406465139e-11i
3.36456298828125+0i,410.709630437278-2.7741770434567e-11i
3.70101928710938+0i,410.709630430068-4.44493991250365e-11i
4.0374755859375+0i,410.709630420939-7.93048087314273e-11i
4.37393188476562+0i,410.709630411572-1.27241439061453e-10i
4.71038818359375+0i,410.709630402781-1.81982444833627e-10i
5.04684448242188+0i,410.709630395959-2.34970717136629e-10i
5.38330078125+0i,410.709630391339-2.84824797858866e-10i
5.71975708007812+0i,410.709630389582-3.30846750209439e-10i
6.05621337890625+0i,410.709630388426-3.95974838552222e-10i
6.39266967773438+0i,410.709630386998-4.93222949979319e-10i
6.7291259765625+0i,410.709630384036-6.15501175320487e-10i
7.06558227539062+0i,410.709630377872-7.68293745674665e-10i
7.40203857421875+0i,410.709630370231-9.06833646441823e-10i
7.73849487304688+0i,410.709630363714-9.8278600929666e-10i
8.074951171875+0i,410.709630363868-9.42702371672154e-10i
8.41140747070312+0i,410.709630373242-7.66260854409877e-10i
8.74786376953125+0i,410.70963038729-5.3537083895262e-10i
9.08432006835938+0i,410.70963039917-3.72207656537524e-10i
9.4207763671875+0i,410.709630396426-4.60046688365432e-10i
9.75723266601562+0i,410.709630376021-8.73611829725005e-10i
10.0936889648438+0i,410.709630339806-1.60857683101262e-09i
10.4301452636719+0i,410.70963030184-2.46690270369992e-09i
10.7666015625+0i,410.709630278642-3.18597426284741e-09i
11.1030578613281+0i,410.70963028383-3.47157930570469e-09i
11.4395141601562+0i,410.709630313025-3.24677267173226e-09i
11.7759704589844+0i,410.709630346267-2.68294534501103e-09i
12.1124267578125+0i,410.709630354792-2.15455377040293e-09i
12.4488830566406+0i,410.70963031817-1.99323547097795e-09i
12.7853393554688+0i,410.709630236352-2.39538277208093e-09i
13.1217956542969+0i,410.709630130089-3.28650525520722e-09i
13.458251953125+0i,410.709630037104-4.26334275450823e-09i
13.7947082519531+0i,410.709629997725-4.80986661461393e-09i
14.1311645507812+0i,410.709630021913-4.74875490692996e-09i
14.4676208496094+0i,410.709630109028-3.88308212057295e-09i
14.8040771484375+0i,410.709630216106-2.72009336810006e-09i
15.1405334472656+0i,410.709630313005-1.63542526740877e-09i
15.4769897460938+0i,410.709630372082-9.87557812157763e-10i
15.8134460449219+0i,410.709630391539-8.71928737121331e-10i
16.14990234375+0i,410.709630387581-1.19707730564832e-09i
16.4863586425781+0i,410.709630380232-1.58542399372028e-09i
16.8228149414062+0i,410.709630379133-1.93810749457323e-09i
17.1592712402344+0i,410.709630373942-2.34395604315709e-09i
17.4957275390625+0i,410.709630342035-3.14747399718636e-09i
