0.336456298828125+0i,410.411513241549-4.03525635903745e-12i
0.67291259765625+0i,410.411513232166-2.06038519857946e-11i
1.00936889648438+0i,410.411513222037-4.98811935991133e-11i
1.3458251953125+0i,410.411513216539-7.76885028107968e-11i
1.68228149414062+0i,410.411513218233-8.37848755681928e-11i
2.01873779296875+0i,410.41151322411-6.77198864192226e-11i
2.35519409179688+0i,410.411513225981-5.77252322625606e-11i
2.691650390625+0i,410.411513220241-9.04819439693694e-11i
3.02810668945312+0i,410.411513203907-2.0518225682455e-10i
3.36456298828125+0i,410.411513186211-3.70624161625245e-10i
3.70101928710938+0i,410.411513175868-5.22468747969769e-10i
4.0374755859375+0i,410.411513183608-5.50804801847137e-10i
4.37393188476562+0i,410.411513203147-4.48727093212255e-10i
4.71038818359375+0i,410.411513219791-3.03375785093921e-10i
5.04684448242188+0i,410.411513220542-2.27885084443837e-10i
5.38330078125+0i,410.411513198257-3.25413037059877e-10i
5.71975708007812+0i,410.41151316151-5.39540360320811e-10i
6.05621337890625+0i,410.411513128156-6.95519129018655e-10i
6.39266967773438+0i,410.411513109367-6.78648962099241e-10i
6.7291259765625+0i,410.4115130955-6.20823173025086e-10i
7.06558227539062+0i,410.411513065916-9.06028006487243e-10i
7.40203857421875+0i,410.411513006272-1.89696041677952e-09i
7.73849487304688+0i,410.411512925877-3.57769688958714e-09i
8.074951171875+0i,410.411512858262-5.38071658020835e-09i
8.41140747070312+0i,410.411512854251-6.27077363227814e-09i
8.74786376953125+0i,410.411512936293-5.44562998778306e-09i
9.08432006835938+0i,410.41151306991-3.19828315211873e-09i
9.4207763671875+0i,410.411513179969-9.00709350409495e-10i
9.75723266601562+0i,410.411513185339-4.58395611312773e-10i
10.0936889648438+0i,410.411513055236-2.9487241264503e-09i
10.4301452636719+0i,410.411512826069-7.68942399552956e-09i
10.7666015625+0i,410.411512573436-1.23007880959063e-08i
11.1030578613281+0i,410.411512344519-1.43472058634266e-08i
11.4395141601562+0i,410.411512102621-1.32247417055422e-08i
11.7759704589844+0i,410.411511732456-1.16604361958571e-08i
12.1124267578125+0i,410.411511116116-1.45554705948239e-08i
12.4488830566406+0i,410.411510242934-2.62812192882096e-08i
12.7853393554688+0i,410.411509281704-4.70323061326548e-08i
