0.3662109375+0i,408.842279543685-1.40054767680414e-12i
0.732421875+0i,408.84227954339-2.34616793056657e-12i
1.0986328125+0i,408.842279542587-3.63761092815959e-12i
1.46484375+0i,408.842279541522-6.11444522957268e-12i
1.8310546875+0i,408.842279540707-9.25831068069205e-12i
2.197265625+0i,408.842279540523-1.35926986428961e-11i
2.5634765625+0i,408.842279541057-1.72572282519404e-11i
2.9296875+0i,408.842279542045-2.01272783169223e-11i
3.2958984375+0i,408.842279543082-2.16811339678231e-11i
3.662109375+0i,408.842279543557-2.3198748058771e-11i
4.0283203125+0i,408.842279543559-2.43499158746605e-11i
4.39453125+0i,408.842279543649-2.2523250333139e-11i
4.7607421875+0i,408.842279543297-2.25867069574388e-11i
5.126953125+0i,408.842279542442-2.6793789349727e-11i
5.4931640625+0i,408.842279540941-3.80948530568283e-11i
5.859375+0i,408.842279538974-5.5586916141712e-11i
6.2255859375+0i,408.84227953781-7.20231222336205e-11i
6.591796875+0i,408.842279537809-8.41172314571023e-11i
6.9580078125+0i,408.842279539503-8.27313601357115e-11i
7.32421875+0i,408.842279541881-7.14974996463279e-11i
7.6904296875+0i,408.842279542535-6.93074779566703e-11i
8.056640625+0i,408.842279540961-8.11529420155215e-11i
8.4228515625+0i,408.842279536477-1.33689877847968e-10i
8.7890625+0i,408.842279531028-2.3212769218327e-10i
9.1552734375+0i,408.842279525771-3.95874680068897e-10i
9.521484375+0i,408.842279518152-6.90764936290945e-10i
9.8876953125+0i,408.842279502242-1.20948917168949e-09i
10.25390625+0i,408.842279474516-1.95808514254734e-09i
10.6201171875+0i,408.842279435017-2.90243923274168e-09i
10.986328125+0i,408.842279392173-3.85807039758418e-09i
11.3525390625+0i,408.842279364653-4.41681749864558e-09i
11.71875+0i,408.842279360611-4.46651135100272e-09i
12.0849609375+0i,408.842279387104-3.81053051995101e-09i
12.451171875+0i,408.842279426996-2.78279581924485e-09i
12.8173828125+0i,408.842279454478-1.8409955300143e-09i
13.18359375+0i,408.842279438877-1.63661096912828e-09i
13.5498046875+0i,408.842279371141-2.4517301595841e-09i
13.916015625+0i,408.842279254798-4.41773272368097e-09i
14.2822265625+0i,408.842279114992-7.26909625106035e-09i
14.6484375+0i,408.842278981072-1.0686738583247e-08i
15.0146484375+0i,408.842278880441-1.42171201408887e-08i
15.380859375+0i,408.842278825069-1.75863184294243e-08i
15.7470703125+0i,408.842278820463-2.03395656794045e-08i
16.11328125+0i,408.842278864249-2.20294570677489e-08i
16.4794921875+0i,408.842278943787-2.2383827460199e-08i
16.845703125+0i,408.842279049335-2.1216769665233e-08i
17.2119140625+0i,408.842279157861-1.89783472678035e-08i
17.578125+0i,408.842279244698-1.65288703761505e-08i
17.9443359375+0i,408.842279296886-1.45664166816163e-08i
18.310546875+0i,408.842279316594-1.33723298155499e-08i
18.6767578125+0i,408.84227932926-1.22409476367093e-08i
19.04296875+0i,408.842279361215-1.03415233817736e-08i
19.4091796875+0i,408.842279421303-7.25733876838893e-09i
19.775390625+0i,408.842279488448-3.64914601990411e-09i
20.1416015625+0i,408.842279518326-1.14094692290716e-09i
20.5078125+0i,408.842279468855-1.51693517593262e-09i
20.8740234375+0i,408.842279330235-5.48295940760311e-09i
21.240234375+0i,408.842279137683-1.19970914158503e-08i
21.6064453125+0i,408.842278960133-1.85534938270779e-08i
21.97265625+0i,408.842278866555-2.23216954775446e-08i
22.3388671875+0i,408.842278892454-2.15963017271111e-08i
22.705078125+0i,408.842279020458-1.6729450900413e-08i
23.0712890625+0i,408.842279198378-9.6722097474795e-09i
23.4375+0i,408.842279362981-2.92865124749123e-09i
23.8037109375+0i,408.842279466794+1.356472954515e-09i
24.169921875+0i,408.842279494956+2.49069376925683e-09i
24.5361328125+0i,408.842279460031+9.88159439387909e-10i
24.90234375+0i,408.842279391547-1.81622542502464e-09i
25.2685546875+0i,408.842279319237-4.58170592927359e-09i
25.634765625+0i,408.8422792632-6.49140264828972e-09i
26.0009765625+0i,408.842279237216-7.00231820371221e-09i
26.3671875+0i,408.842279242137-6.24377446462511e-09i
26.7333984375+0i,408.842279272434-4.71954798463016e-09i
27.099609375+0i,408.842279311501-3.01140140575352e-09i
27.4658203125+0i,408.842279346112-1.74613052743915e-09i
27.83203125+0i,408.842279365036-1.2250719445638e-09i
28.1982421875+0i,408.842279361507-1.44686979928248e-09i
28.564453125+0i,408.842279337948-2.14641239348477e-09i
28.9306640625+0i,408.84227929968-2.98253197980264e-09i
29.296875+0i,408.842279254122-3.65143576395933e-09i
29.6630859375+0i,408.842279212794-3.89758387209888e-09i
30.029296875+0i,408.842279187884-3.64444384371599e-09i
30.3955078125+0i,408.842279191957-2.78510108968084e-09i
30.76171875+0i,408.842279225155-1.72385459731551e-09i
31.1279296875+0i,408.84227927658-1.40491985375582e-09i
31.494140625+0i,408.842279325678-2.29865763197458e-09i
31.8603515625+0i,408.842279355238-4.88530719687038e-09i
32.2265625+0i,408.842279355319-8.33132935721061e-09i
32.5927734375+0i,408.842279320797-1.11776317334645e-08i
32.958984375+0i,408.842279252085-1.21165191810048e-08i
33.3251953125+0i,408.842279130509-1.0888325194202e-08i
33.69140625+0i,408.842278933674-8.45908055954238e-09i
34.0576171875+0i,408.842278646902-6.66074371945234e-09i
34.423828125+0i,408.842278292606-6.09518700243194e-09i
34.7900390625+0i,408.842277929016-6.34407076096914e-09i
35.15625+0i,408.842277643339-5.11831707447349e-09i
35.5224609375+0i,408.842277514005-2.51337987300841e-11i
35.888671875+0i,408.842277572228+9.74293310505307e-09i
36.2548828125+0i,408.842277780486+2.24067260069747e-08i
