0.336456298828125+0i,411.629212897845-8.00319890424447e-10i
0.67291259765625+0i,411.62921291936-1.54497885944909e-09i
1.00936889648438+0i,411.629212929294-2.19907790018293e-09i
1.3458251953125+0i,411.629212908776-2.81211000693668e-09i
1.68228149414062+0i,411.629212845011-3.46299176541366e-09i
2.01873779296875+0i,411.629212730849-4.24955107913221e-09i
2.35519409179688+0i,411.629212599422-5.18048103772379e-09i
2.691650390625+0i,411.629212500796-6.15895909059065e-09i
3.02810668945312+0i,411.629212477657-7.02958591719317e-09i
3.36456298828125+0i,411.629212570604-7.57013506765803e-09i
3.70101928710938+0i,411.629212764742-7.72299176308453e-09i
4.0374755859375+0i,411.62921300258-7.56872324109487e-09i
4.37393188476562+0i,411.629213199642-7.40706664768394e-09i
4.71038818359375+0i,411.629213280451-7.54930701376249e-09i
5.04684448242188+0i,411.629213201442-8.38391989780199e-09i
5.38330078125+0i,411.629212986741-9.99996541144507e-09i
5.71975708007812+0i,411.629212698436-1.23308261362159e-08i
6.05621337890625+0i,411.629212416726-1.51156745775673e-08i
6.39266967773438+0i,411.629212210639-1.79145789548678e-08i
6.7291259765625+0i,411.629212123077-2.01562960308133e-08i
7.06558227539062+0i,411.629212173005-2.13186124057721e-08i
7.40203857421875+0i,411.629212385445-2.07662208800501e-08i
7.73849487304688+0i,411.629212755577-1.81892714888841e-08i
8.074951171875+0i,411.629213242127-1.38350747609343e-08i
8.41140747070312+0i,411.629213676482-9.1915284057426e-09i
8.74786376953125+0i,411.62921374999-7.07705025043695e-09i
9.08432006835938+0i,411.629213046645-1.1488651527856e-08i
9.4207763671875+0i,411.629211161772-2.66749298425718e-08i
9.75723266601562+0i,411.629207889576-5.5504430683971e-08i
10.0936889648438+0i,411.629203357937-9.82150046316741e-08i
10.4301452636719+0i,411.629198117325-1.51065477612886e-07i
10.7666015625+0i,411.629192957442-2.07719332404985e-07i
11.1030578613281+0i,411.629188746267-2.60000967977666e-07i
11.4395141601562+0i,411.629186159838-3.00520150295205e-07i
11.7759704589844+0i,411.629185454858-3.24585839638992e-07i
12.1124267578125+0i,411.629186492342-3.3117079303367e-07i
12.4488830566406+0i,411.629188840505-3.21953247503524e-07i
12.7853393554688+0i,411.629191968531-3.0038757783794e-07i
13.1217956542969+0i,411.629195461922-2.69669379931058e-07i
13.458251953125+0i,411.629199068943-2.32307761539603e-07i
13.7947082519531+0i,411.629202679558-1.89908236114906e-07i
14.1311645507812+0i,411.629206161877-1.44732877803258e-07i
14.4676208496094+0i,411.629209268902-1.00883457978434e-07i
14.8040771484375+0i,411.629211624432-6.46746719334719e-08i
15.1405334472656+0i,411.629212810013-4.42453553190695e-08i
15.4769897460938+0i,411.629212590245-4.61300595544295e-08i
15.8134460449219+0i,411.629210968267-7.47354468334592e-08i
16.14990234375+0i,411.629208273247-1.28777297104802e-07i
16.4863586425781+0i,411.629204933656-2.03267373155098e-07i
16.8228149414062+0i,411.629201252146-2.92138214880523e-07i
17.1592712402344+0i,411.629197282814-3.90318197483132e-07i
17.4957275390625+0i,411.629192888015-4.94949172039353e-07i
17.8321838378906+0i,411.629187877746-6.06497195341646e-07i
18.1686401367188+0i,411.629182584524-7.17822972381208e-07i
18.5050964355469+0i,411.629177985341-8.11834619065244e-07i
18.841552734375+0i,411.629175501319-8.62576345285145e-07i
19.1780090332031+0i,411.629176524406-8.39959084396274e-07i
19.5144653320312+0i,411.629181470933-7.29785057057961e-07i
19.8509216308594+0i,411.62918938765-5.45452172366464e-07i
20.1873779296875+0i,411.629198050469-3.32573928700461e-07i
20.5238342285156+0i,411.629204673507-1.58921204339125e-07i
20.8602905273438+0i,411.629207081535-9.01778795366548e-08i
21.1967468261719+0i,411.629204679319-1.60733905574794e-07i
21.533203125+0i,411.629198802438-3.5405022092749e-07i
21.8696594238281+0i,411.6291920659-6.07172681028854e-07i
22.2061157226562+0i,411.629187160649-8.35675369440589e-07i
22.5425720214844+0i,411.62918575229-9.66291558854928e-07i
22.8790283203125+0i,411.629187625852-9.74812300768818e-07i
23.2154846191406+0i,411.6291912232-8.86084778613588e-07i
23.5519409179688+0i,411.629194408396-7.62913597237117e-07i
23.8883972167969+0i,411.629195633524-6.71449701760399e-07i
24.224853515625+0i,411.629194731514-6.44342779187595e-07i
24.5613098144531+0i,411.629192792257-6.71257939955903e-07i
24.8977661132812+0i,411.629191452205-7.0510584894969e-07i
25.2342224121094+0i,411.629191997881-6.96152394285087e-07i
25.5706787109375+0i,411.629194556759-6.24149529810165e-07i
25.9071350097656+0i,411.629197900359-5.16502689431623e-07i
26.2435913085938+0i,411.629199870947-4.41018643050102e-07i
26.5800476074219+0i,411.629198109279-4.80160933616739e-07i
26.91650390625+0i,411.629190860366-6.98216028491846e-07i
27.2529602050781+0i,411.629177521743-1.11976784182297e-06i
27.5894165039062+0i,411.629158901336-1.72335914729876e-06i
27.9258728027344+0i,411.629137176546-2.44592483223557e-06i
28.2623291015625+0i,411.629115771981-3.18769041577889e-06i
28.5987854003906+0i,411.62909899963-3.80984716861845e-06i
28.9352416992188+0i,411.62909095426-4.15936139519207e-06i
29.2716979980469+0i,411.629094473383-4.09972377279648e-06i
29.608154296875+0i,411.629109602808-3.57644161458791e-06i
29.9446105957031+0i,411.629132811451-2.675109209756e-06i
30.2810668945312+0i,411.629157635339-1.62851035087238e-06i
30.6175231933594+0i,411.629176494345-7.57434104350488e-07i
30.9539794921875+0i,411.629184010443-3.21095339660636e-07i
31.2904357910156+0i,411.629179000912-3.96306836963059e-07i
31.6268920898438+0i,411.629164247362-8.54600395137421e-07i
31.9633483886719+0i,411.629143861098-1.47690754544232e-06i
32.2998046875+0i,411.629119665845-2.15144292092228e-06i
32.6362609863281+0i,411.62908924812-3.01143961895104e-06i
32.9727172851562+0i,411.629048433545-4.35926718341186e-06i
33.3091735839844+0i,411.628996328296-6.40002206743715e-06i
33.6456298828125+0i,411.628940361095-8.93150765854258e-06i
33.9820861816406+0i,411.628895617518-1.12866475868085e-05i
34.3185424804688+0i,411.628876250613-1.27076297061743e-05i
34.6549987792969+0i,411.628882874338-1.30259131098634e-05i
34.991455078125+0i,411.62889254119-1.32772939511373e-05i
35.3279113769531+0i,411.628860984961-1.57173479522e-05i
35.6643676757812+0i,411.628740167163-2.2964971289748e-05i
36.0008239746094+0i,411.628504247425-3.65443820588419e-05i
