0.336456298828125+0i,411.599999604226-2.03004301109365e-10i
0.67291259765625+0i,411.599999631786-3.84285223513858e-10i
1.00936889648438+0i,411.59999966383-5.36154744531387e-10i
1.3458251953125+0i,411.599999696034-6.55277490801775e-10i
1.68228149414062+0i,411.599999718747-7.62902126731546e-10i
2.01873779296875+0i,411.599999735854-8.58027703997421e-10i
2.35519409179688+0i,411.599999755949-9.19835308069351e-10i
2.691650390625+0i,411.599999785971-9.17740427872015e-10i
3.02810668945312+0i,411.599999831117-8.17612186836196e-10i
3.36456298828125+0i,411.599999879303-6.50035183582079e-10i
3.70101928710938+0i,411.599999911089-5.00666195941236e-10i
4.0374755859375+0i,411.599999904864-5.05301512265962e-10i
4.37393188476562+0i,411.599999843461-8.34818087596408e-10i
4.71038818359375+0i,411.599999733752-1.54524845054832e-09i
5.04684448242188+0i,411.59999958837-2.69430889151411e-09i
5.38330078125+0i,411.599999434902-4.15477352925207e-09i
5.71975708007812+0i,411.599999285985-5.85174307173033e-09i
6.05621337890625+0i,411.599999148937-7.66814179603638e-09i
6.39266967773438+0i,411.599999028521-9.41877334662063e-09i
6.7291259765625+0i,411.599998948397-1.07959901590157e-08i
7.06558227539062+0i,411.599998964214-1.1171771577986e-08i
7.40203857421875+0i,411.599999110845-1.01021681238599e-08i
7.73849487304688+0i,411.599999387336-7.45082764104612e-09i
8.074951171875+0i,411.599999680258-4.26111191485462e-09i
8.41140747070312+0i,411.599999791663-2.69283645396033e-09i
8.74786376953125+0i,411.599999523376-5.30708020406837e-09i
9.08432006835938+0i,411.59999880369-1.366937123782e-08i
9.4207763671875+0i,411.599997826398-2.63274378059534e-08i
9.75723266601562+0i,411.599997004072-3.87053028498146e-08i
10.0936889648438+0i,411.599996784105-4.4799341179081e-08i
10.4301452636719+0i,411.599997384723-4.01855802421174e-08i
10.7666015625+0i,411.599998497974-2.68537581829934e-08i
11.1030578613281+0i,411.599999293597-1.45164419100555e-08i
11.4395141601562+0i,411.599998671129-1.87325237529689e-08i
11.7759704589844+0i,411.599995773962-5.41785027428641e-08i
12.1124267578125+0i,411.599990518662-1.26163069606033e-07i
12.4488830566406+0i,411.59998384604-2.24678680687767e-07i
12.7853393554688+0i,411.599977442549-3.25931710497932e-07i
13.1217956542969+0i,411.599973263471-3.9833604794851e-07i
13.458251953125+0i,411.59997262458-4.17029966187079e-07i
13.7947082519531+0i,411.599975625057-3.76346987873376e-07i
14.1311645507812+0i,411.599981288726-2.89101589625986e-07i
14.4676208496094+0i,411.599987718064-1.87116198672949e-07i
14.8040771484375+0i,411.5999931715-1.01420752916713e-07i
15.1405334472656+0i,411.599996528483-5.30811370259903e-08i
15.4769897460938+0i,411.599997756137-4.24875688361331e-08i
15.8134460449219+0i,411.599997649428-5.33366710463197e-08i
16.14990234375+0i,411.599997260999-6.44398358941616e-08i
16.4863586425781+0i,411.599997313761-6.27037588835342e-08i
16.8228149414062+0i,411.599997875949-5.07607174709368e-08i
17.1592712402344+0i,411.599998402286-4.58510483770203e-08i
17.4957275390625+0i,411.599998144879-6.88093208351271e-08i
17.8321838378906+0i,411.599996606338-1.31888839727319e-07i
18.1686401367188+0i,411.599993859021-2.29491184704945e-07i
18.5050964355469+0i,411.599990462829-3.42377836081227e-07i
18.841552734375+0i,411.599987249207-4.44297902190553e-07i
19.1780090332031+0i,411.599984941482-5.14930088038233e-07i
19.5144653320312+0i,411.599983859517-5.48146573252516e-07i
19.8509216308594+0i,411.599983967434-5.49964574786038e-07i
20.1873779296875+0i,411.599984890272-5.35181393927672e-07i
20.5238342285156+0i,411.599986314418-5.12618834083689e-07i
20.8602905273438+0i,411.59998799606-4.8423229686571e-07i
21.1967468261719+0i,411.599989869733-4.44195177224899e-07i
21.533203125+0i,411.599991931527-3.84471957399465e-07i
21.8696594238281+0i,411.599994076955-3.04973885968573e-07i
22.2061157226562+0i,411.599996124127-2.1347614707741e-07i
22.5425720214844+0i,411.599997798998-1.25744157829744e-07i
22.8790283203125+0i,411.599998861614-5.87096422303795e-08i
23.2154846191406+0i,411.599999245689-2.18767714805175e-08i
23.5519409179688+0i,411.599999102286-1.37186059457413e-08i
23.8883972167969+0i,411.59999872889-2.33299966309694e-08i
24.224853515625+0i,411.599998444242-3.63278773054976e-08i
24.5613098144531+0i,411.599998441586-4.17616946860334e-08i
24.8977661132812+0i,411.599998741415-3.58301212359403e-08i
25.2342224121094+0i,411.599999172723-2.32732340922767e-08i
25.5706787109375+0i,411.599999515725-1.19837631062835e-08i
25.9071350097656+0i,411.599999591231-8.98816843527198e-09i
26.2435913085938+0i,411.599999348182-1.66677685617352e-08i
26.5800476074219+0i,411.599998867215-3.22942314284051e-08i
26.91650390625+0i,411.599998326444-4.92074864319011e-08i
27.2529602050781+0i,411.59999785218-6.26617542289515e-08i
27.5894165039062+0i,411.599997542269-6.89652985805219e-08i
27.9258728027344+0i,411.599997344867-7.03203465797835e-08i
28.2623291015625+0i,411.599997144656-7.12789941608335e-08i
28.5987854003906+0i,411.599996817223-7.76767699947116e-08i
28.9352416992188+0i,411.599996255394-9.47976116172136e-08i
29.2716979980469+0i,411.599995457745-1.24107846480254e-07i
29.608154296875+0i,411.59999456682-1.61643874137744e-07i
29.9446105957031+0i,411.599993814388-1.98285776385767e-07i
30.2810668945312+0i,411.59999348105-2.21462517535964e-07i
30.6175231933594+0i,411.599993785397-2.19912664129886e-07i
30.9539794921875+0i,411.599994745001-1.8971097891046e-07i
31.2904357910156+0i,411.599996180652-1.36044916542512e-07i
31.6268920898438+0i,411.599997699846-7.50061022783637e-08i
31.9633483886719+0i,411.599998858395-2.73145269256383e-08i
32.2998046875+0i,411.599999341794-8.97719695347789e-09i
32.6362609863281+0i,411.599999109226-2.36765161436555e-08i
32.9727172851562+0i,411.599998395299-6.00414747142305e-08i
33.3091735839844+0i,411.599997552774-9.7608746568647e-08i
33.6456298828125+0i,411.599996805288-1.18638727111387e-07i
33.9820861816406+0i,411.599996041716-1.20045411128985e-07i
34.3185424804688+0i,411.599994831232-1.17206425771601e-07i
34.6549987792969+0i,411.599992614673-1.37685965486535e-07i
34.991455078125+0i,411.599989149952-2.03196601463583e-07i
35.3279113769531+0i,411.599984740848-3.15500258583711e-07i
35.6643676757812+0i,411.599980369248-4.47208362990945e-07i
36.0008239746094+0i,411.599977327039-5.52191030297383e-07i
36.3372802734375+0i,411.599976688308-5.86678175435308e-07i
36.6737365722656+0i,411.599978824423-5.3019982221244e-07i
37.0101928710938+0i,411.599983245945-3.95946944634621e-07i
