0.336456298828125+0i,411.12716252785+1.5302068053317e-12i
0.67291259765625+0i,411.127162527285+2.3466193603176e-12i
1.00936889648438+0i,411.127162524179-1.8780320259588e-12i
1.3458251953125+0i,411.127162517459-1.8717479809562e-11i
1.68228149414062+0i,411.127162507228-5.24645377179675e-11i
2.01873779296875+0i,411.127162495428-1.01448958840709e-10i
2.35519409179688+0i,411.127162484499-1.58541668595232e-10i
2.691650390625+0i,411.127162477777-2.13972422704716e-10i
3.02810668945312+0i,411.127162475315-2.6661027740604e-10i
3.36456298828125+0i,411.127162476967-3.17550624247338e-10i
3.70101928710938+0i,411.127162482267-3.6153741163952e-10i
4.0374755859375+0i,411.127162489256-3.98389076681388e-10i
4.37393188476562+0i,411.127162499181-4.07424488378501e-10i
4.71038818359375+0i,411.127162510488-3.72026475557122e-10i
5.04684448242188+0i,411.127162520744-3.0635935543037e-10i
5.38330078125+0i,411.127162527555-2.3955875299422e-10i
5.71975708007812+0i,411.127162529106-2.17410335606033e-10i
6.05621337890625+0i,411.12716252609-2.2982767471254e-10i
6.39266967773438+0i,411.127162521707-2.73195109662335e-10i
6.7291259765625+0i,411.127162519199-3.0977236611745e-10i
7.06558227539062+0i,411.127162521765-2.785191473836e-10i
7.40203857421875+0i,411.127162527397-1.86797038538233e-10i
7.73849487304688+0i,411.127162531965-1.67847783386329e-11i
8.074951171875+0i,411.127162529654+1.66366382900494e-10i
8.41140747070312+0i,411.127162516084+4.51939452753439e-10i
8.74786376953125+0i,411.127162490492+7.73955537803333e-10i
9.08432006835938+0i,411.127162456155+1.1376429533104e-09i
9.4207763671875+0i,411.127162417245+1.47396979288986e-09i
9.75723266601562+0i,411.127162384759+1.84582360957797e-09i
10.0936889648438+0i,411.127162367801+2.4006379590424e-09i
10.4301452636719+0i,411.127162376845+3.43810775033912e-09i
10.7666015625+0i,411.127162405546+5.31615812399879e-09i
11.1030578613281+0i,411.127162429732+8.04887745971499e-09i
11.4395141601562+0i,411.12716239238+1.09346831354658e-08i
11.7759704589844+0i,411.127162216333+1.27646007230115e-08i
12.1124267578125+0i,411.127161835685+1.20993192329095e-08i
12.4488830566406+0i,411.127161227222+8.44694116836038e-09i
12.7853393554688+0i,411.127160451451+2.88197570819823e-09i
13.1217956542969+0i,411.127159658482-1.50143354903498e-09i
13.458251953125+0i,411.12715904523-1.08172247987013e-09i
13.7947082519531+0i,411.127158807638+7.28469518862152e-09i
14.1311645507812+0i,411.127159020736+2.27528774257211e-08i
14.4676208496094+0i,411.127159622156+4.07709693611268e-08i
14.8040771484375+0i,411.127160441378+5.29938972510746e-08i
15.1405334472656+0i,411.12716122094+5.03461532762918e-08i
15.4769897460938+0i,411.127161743741+2.646348218374e-08i
15.8134460449219+0i,411.127161896308-1.93680184697087e-08i
16.14990234375+0i,411.127161710842-8.17098312798649e-08i
16.4863586425781+0i,411.127161313375-1.49950874372695e-07i
16.8228149414062+0i,411.127160861154-2.1239212825656e-07i
17.1592712402344+0i,411.127160498449-2.56928740074598e-07i
17.4957275390625+0i,411.127160275242-2.76808878329067e-07i
17.8321838378906+0i,411.127160168246-2.70130002553464e-07i
18.1686401367188+0i,411.127160143804-2.37558372595138e-07i
18.5050964355469+0i,411.127160156068-1.84566396919126e-07i
18.841552734375+0i,411.127160205439-1.16958141399976e-07i
19.1780090332031+0i,411.127160327026-4.32076917204207e-08i
19.5144653320312+0i,411.127160519602+2.67414726833441e-08i
19.8509216308594+0i,411.127160827889+8.46902854283294e-08i
20.1873779296875+0i,411.127161218214+1.23231150621463e-07i
20.5238342285156+0i,411.127161639286+1.37743565985614e-07i
20.8602905273438+0i,411.127161995877+1.26949843849522e-07i
21.1967468261719+0i,411.127162213047+9.28136877820832e-08i
21.533203125+0i,411.12716224205+4.0610953039993e-08i
21.8696594238281+0i,411.127162085275-2.26816196145196e-08i
22.2061157226562+0i,411.127161813179-8.76647289820201e-08i
22.5425720214844+0i,411.127161534938-1.44662311190834e-07i
22.8790283203125+0i,411.127161359003-1.87466606114008e-07i
23.2154846191406+0i,411.127161359734-2.12731921391168e-07i
23.5519409179688+0i,411.12716153912-2.21905020614657e-07i
23.8883972167969+0i,411.127161821836-2.21601850611342e-07i
24.224853515625+0i,411.127162112544-2.17358019603824e-07i
24.5613098144531+0i,411.127162306615-2.19920658231281e-07i
24.8977661132812+0i,411.127162354799-2.32717550731124e-07i
25.2342224121094+0i,411.127162255994-2.59674451965941e-07i
25.5706787109375+0i,411.127162053911-2.98308864768987e-07i
25.9071350097656+0i,411.127161800804-3.47338514380081e-07i
26.2435913085938+0i,411.127161556189-4.04999996893825e-07i
26.5800476074219+0i,411.127161349288-4.74259229375878e-07i
26.91650390625+0i,411.127161203457-5.56610715375524e-07i
27.2529602050781+0i,411.127161117822-6.53637394498818e-07i
27.5894165039062+0i,411.127161035263-7.71516930850093e-07i
27.9258728027344+0i,411.127160849291-9.07327384390478e-07i
28.2623291015625+0i,411.127160377306-1.059186527918e-06i
28.5987854003906+0i,411.127159430108-1.21868623652774e-06i
28.9352416992188+0i,411.127157882843-1.36997477105472e-06i
29.2716979980469+0i,411.127155748537-1.48944507705338e-06i
29.608154296875+0i,411.127153230299-1.55171262078499e-06i
29.9446105957031+0i,411.127150722403-1.52602825414487e-06i
30.2810668945312+0i,411.12714869589-1.38861119429138e-06i
30.6175231933594+0i,411.127147551942-1.1310044062362e-06i
30.9539794921875+0i,411.127147550344-7.58861634060357e-07i
31.2904357910156+0i,411.12714863571-3.03276870127801e-07i
31.6268920898438+0i,411.127150555475+1.86864592374182e-07i
31.9633483886719+0i,411.127152887289+6.49107920417391e-07i
32.2998046875+0i,411.127155161074+1.0144590094316e-06i
32.6362609863281+0i,411.12715698826+1.22137484255131e-06i
32.9727172851562+0i,411.127158204658+1.22114023022797e-06i
33.3091735839844+0i,411.127158798197+9.96759359848975e-07i
33.6456298828125+0i,411.127158935769+5.55365777817383e-07i
33.9820861816406+0i,411.127158830529-6.78888799036679e-08i
34.3185424804688+0i,411.127158676024-8.16670929738092e-07i
34.6549987792969+0i,411.127158552788-1.63165213088474e-06i
34.991455078125+0i,411.127158446633-2.45692697114541e-06i
35.3279113769531+0i,411.127158305989-3.24426142600838e-06i
35.6643676757812+0i,411.12715807744-3.95832738114578e-06i
36.0008239746094+0i,411.127157737862-4.58919677952652e-06i
36.3372802734375+0i,411.127157368602-5.11821924768987e-06i
36.6737365722656+0i,411.127157012714-5.56655759822791e-06i
37.0101928710938+0i,411.127156734872-5.94288510797818e-06i
37.3466491699219+0i,411.12715653867-6.26157877661681e-06i
37.68310546875+0i,411.127156366619-6.54651564846086e-06i
38.0195617675781+0i,411.127156185727-6.8084150117223e-06i
38.3560180664062+0i,411.12715602161-7.04444242526325e-06i
38.6924743652344+0i,411.12715594986-7.25394355347013e-06i
39.0289306640625+0i,411.127156152465-7.39163361871367e-06i
39.3653869628906+0i,411.12715670379-7.45543558895068e-06i
39.7018432617188+0i,411.127157607845-7.4278889739756e-06i
40.0382995605469+0i,411.127158743114-7.31717853476639e-06i
40.374755859375+0i,411.127159876473-7.15173186409834e-06i
40.7112121582031+0i,411.12716077778-6.96516078113662e-06i
41.0476684570312+0i,411.127161313826-6.79065170378891e-06i
41.3841247558594+0i,411.12716147737-6.67697491409547e-06i
41.7205810546875+0i,411.127161425747-6.63132524739813e-06i
42.0570373535156+0i,411.127161369134-6.66346829545449e-06i
42.3934936523438+0i,411.127161473091-6.78274038920113e-06i
42.7299499511719+0i,411.127161811077-6.99163218691224e-06i
43.06640625+0i,411.127162346957-7.27326375740598e-06i
43.4028625488281+0i,411.127162930915-7.64866385687811e-06i
43.7393188476562+0i,411.127163427281-8.11516881997002e-06i
44.0757751464844+0i,411.127163769559-8.62736422330661e-06i
44.4122314453125+0i,411.127163938579-9.19478758361264e-06i
44.7486877441406+0i,411.127164004491-9.78229694361532e-06i
45.0851440429688+0i,411.127164068867-1.03586282646884e-05i
45.4216003417969+0i,411.127164217747-1.09023862853889e-05i
45.758056640625+0i,411.127164473728-1.14162289129059e-05i
46.0945129394531+0i,411.127164826238-1.19103618347909e-05i
46.4309692382812+0i,411.127165233227-1.23975254323943e-05i
46.7674255371094+0i,411.127165615274-1.29206803823317e-05i
47.1038818359375+0i,411.127165909398-1.35178226817713e-05i
47.4403381347656+0i,411.127166031424-1.42708559912951e-05i
47.7767944335938+0i,411.127165931878-1.52223940819539e-05i
48.1132507324219+0i,411.127165585955-1.64531408039432e-05i
48.44970703125+0i,411.127164999553-1.80702796470607e-05i
48.7861633300781+0i,411.127164248348-2.0060729072374e-05i
49.1226196289062+0i,411.127163436235-2.24963628301627e-05i
49.4590759277344+0i,411.127162730457-2.53170228869321e-05i
49.7955322265625+0i,411.127162208597-2.8522294463009e-05i
50.1319885253906+0i,411.12716201441-3.19634453899934e-05i
50.4684448242188+0i,411.127162187749-3.55308500787103e-05i
50.8049011230469+0i,411.127162761252-3.90461656921985e-05i
51.141357421875+0i,411.127163767293-4.2323481275103e-05i
51.4778137207031+0i,411.127165236431-4.52042266929034e-05i
51.8142700195312+0i,411.127167105164-4.757066773957e-05i
52.1507263183594+0i,411.127169318482-4.93587115192411e-05i
52.4871826171875+0i,411.127171754231-5.0560402237016e-05i
52.8236389160156+0i,411.127174219348-5.13676342315116e-05i
53.1600952148438+0i,411.127176570257-5.20113663978839e-05i
53.4965515136719+0i,411.127178756139-5.27727888983159e-05i
53.8330078125+0i,411.127180769471-5.4041992933218e-05i
54.1694641113281+0i,411.127182652158-5.62099693924971e-05i
54.5059204101562+0i,411.127184518163-5.96104074195314e-05i
54.8423767089844+0i,411.127186340349-6.45470932838974e-05i
55.1788330078125+0i,411.127188118721-7.12049784214667e-05i
55.5152893066406+0i,411.127189729007-7.95689795651091e-05i
55.8517456054688+0i,411.127191155449-8.95437389860544e-05i
56.1882019042969+0i,411.127192427854-0.000100871553456542i
56.524658203125+0i,411.12719375281-0.000113082794716588i
56.8611145019531+0i,411.12719538745-0.00012581458055511i
57.1975708007812+0i,411.127197706101-0.000138660941652566i
57.5340270996094+0i,411.127201053658-0.000151202070259849i
57.8704833984375+0i,411.127205742533-0.000163228208246623i
58.2069396972656+0i,411.127211935258-0.000174828341613004i
58.5433959960938+0i,411.127219825305-0.000186027399157636i
58.8798522949219+0i,411.127229354968-0.000197308283395352i
59.21630859375+0i,411.127240586232-0.000209201085942157i
59.5527648925781+0i,411.12725351192-0.000222203294428897i
59.8892211914062+0i,411.127268062273-0.000237081859621511i
60.2256774902344+0i,411.127284346017-0.000254335734046531i
60.5621337890625+0i,411.127302350734-0.000274618238077606i
60.8985900878906+0i,411.127322433267-0.000298192985334217i
61.2350463867188+0i,411.127344941041-0.000325440902453908i
61.5715026855469+0i,411.127370559273-0.000356551532779364i
61.907958984375+0i,411.127400403047-0.000391740161581974i
62.2444152832031+0i,411.127435658081-0.000431530706192565i
62.5808715820312+0i,411.127477916499-0.000476238832585223i
62.9173278808594+0i,411.127528956642-0.000527274737015204i
