0.336456298828125+0i,410.846065916803-5.07711680316367e-10i
0.67291259765625+0i,410.846066148051-8.69512083013221e-10i
1.00936889648438+0i,410.846066444602-1.02429109310717e-09i
1.3458251953125+0i,410.846066730179-1.00933861077127e-09i
1.68228149414062+0i,410.846066926986-9.70764420794487e-10i
2.01873779296875+0i,410.846067008966-1.05552063651001e-09i
2.35519409179688+0i,410.846066982164-1.36549913152171e-09i
2.691650390625+0i,410.846066899282-1.87634967157003e-09i
3.02810668945312+0i,410.846066820483-2.46021409293684e-09i
3.36456298828125+0i,410.846066801689-2.91394001669135e-09i
3.70101928710938+0i,410.846066868688-3.05600758975788e-09i
4.0374755859375+0i,410.846067014976-2.81161187984931e-09i
4.37393188476562+0i,410.846067210782-2.15408361031702e-09i
4.71038818359375+0i,410.846067397112-1.26308199522555e-09i
5.04684448242188+0i,410.84606752368-2.97657004355107e-10i
5.38330078125+0i,410.846067549093+5.04616080771221e-10i
5.71975708007812+0i,410.84606746716+1.01873427379264e-09i
6.05621337890625+0i,410.846067306307+1.24389765925933e-09i
6.39266967773438+0i,410.8460671165+1.28674122607837e-09i
6.7291259765625+0i,410.846066960179+1.31861749034647e-09i
7.06558227539062+0i,410.846066879414+1.46452876516353e-09i
7.40203857421875+0i,410.846066885727+1.71595087646209e-09i
7.73849487304688+0i,410.846066978991+2.01515512271629e-09i
8.074951171875+0i,410.846067130667+2.23085212759398e-09i
8.41140747070312+0i,410.84606730661+2.1644558599857e-09i
8.74786376953125+0i,410.84606745062+1.4138257368726e-09i
9.08432006835938+0i,410.846067476276-7.37406278961749e-10i
9.4207763671875+0i,410.846067266872-5.52315746622132e-09i
9.75723266601562+0i,410.846066707513-1.43235301571575e-08i
10.0936889648438+0i,410.846065729395-2.81824783509285e-08i
10.4301452636719+0i,410.846064374646-4.69007642299407e-08i
10.7666015625+0i,410.846062818681-6.84073748671107e-08i
11.1030578613281+0i,410.846061334921-8.89142720991619e-08i
11.4395141601562+0i,410.846060222835-1.03401462707264e-07i
11.7759704589844+0i,410.846059681656-1.07448894582712e-07i
12.1124267578125+0i,410.846059724154-9.91092863978664e-08i
12.4488830566406+0i,410.846060184625-7.91849212049441e-08i
12.7853393554688+0i,410.846060787497-5.11507615742605e-08i
13.1217956542969+0i,410.846061244523-2.00683410026456e-08i
13.458251953125+0i,410.846061412093+1.0003451227384e-08i
13.7947082519531+0i,410.846061290954+3.66969573727928e-08i
14.1311645507812+0i,410.846061045985+5.96593648619008e-08i
14.4676208496094+0i,410.846060861345+8.00032729224008e-08i
14.8040771484375+0i,410.846060920127+9.86911726030947e-08i
15.1405334472656+0i,410.846061312949+1.15556244053894e-07i
15.4769897460938+0i,410.846061985269+1.29110819405325e-07i
15.8134460449219+0i,410.846062847087+1.37447559198986e-07i
16.14990234375+0i,410.84606377571+1.39038224002921e-07i
16.4863586425781+0i,410.846064664543+1.33138346471782e-07i
16.8228149414062+0i,410.846065449139+1.20062413375871e-07i
17.1592712402344+0i,410.84606608491+1.00671708605841e-07i
17.4957275390625+0i,410.846066559731+7.54087059794614e-08i
17.8321838378906+0i,410.846066873263+4.49403224644429e-08i
18.1686401367188+0i,410.846067035664+9.27177649727629e-09i
18.5050964355469+0i,410.846067073229-2.94395674421599e-08i
18.841552734375+0i,410.846067017012-7.0420674907981e-08i
19.1780090332031+0i,410.846066911874-1.09529207254888e-07i
19.5144653320312+0i,410.846066792231-1.43698294747457e-07i
19.8509216308594+0i,410.846066695067-1.68828579468154e-07i
20.1873779296875+0i,410.846066659708-1.80361329029169e-07i
20.5238342285156+0i,410.846066702086-1.76320092789907e-07i
20.8602905273438+0i,410.84606681856-1.56305131797789e-07i
21.1967468261719+0i,410.846066993584-1.19433973773328e-07i
21.533203125+0i,410.846067185603-6.87526456190584e-08i
21.8696594238281+0i,410.846067337466-1.0376844962117e-08i
22.2061157226562+0i,410.846067409683+5.04419473689154e-08i
22.5425720214844+0i,410.846067394293+1.05084357561619e-07i
22.8790283203125+0i,410.846067317909+1.46555541020825e-07i
23.2154846191406+0i,410.846067230142+1.69302607175825e-07i
23.5519409179688+0i,410.846067172677+1.72651813169217e-07i
23.8883972167969+0i,410.846067169007+1.56362640898918e-07i
