0.336456298828125+0i,415.304365940598-5.17234862888516e-11i
0.67291259765625+0i,415.304365974829-7.69705206850398e-11i
1.00936889648438+0i,415.30436599865-1.00780772718578e-10i
1.3458251953125+0i,415.304365984495-1.87527320747141e-10i
1.68228149414062+0i,415.304365925628-3.95281073684378e-10i
2.01873779296875+0i,415.304365844258-7.15946549784052e-10i
2.35519409179688+0i,415.304365785364-1.02582967852325e-09i
2.691650390625+0i,415.304365786554-1.15507510594609e-09i
3.02810668945312+0i,415.304365852911-9.94861914149081e-10i
3.36456298828125+0i,415.304365938069-6.61390624700516e-10i
3.70101928710938+0i,415.304365971452-4.84907762336311e-10i
4.0374755859375+0i,415.304365880602-9.6011032204979e-10i
4.37393188476562+0i,415.304365657442-2.33638938291064e-09i
4.71038818359375+0i,415.30436536226-4.44555776196001e-09i
5.04684448242188+0i,415.304365108741-6.57821747075646e-09i
5.38330078125+0i,415.304364987326-7.92666969769333e-09i
5.71975708007812+0i,415.304365014087-8.00356842871399e-09i
6.05621337890625+0i,415.30436508265-7.30273450896186e-09i
6.39266967773438+0i,415.304365024072-7.11161957951406e-09i
6.7291259765625+0i,415.304364706643-8.88856312028047e-09i
7.06558227539062+0i,415.304364129862-1.33347079145551e-08i
7.40203857421875+0i,415.304363448811-1.96257125903249e-08i
7.73849487304688+0i,415.304362934506-2.55063931958838e-08i
8.074951171875+0i,415.304362794509-2.86725628364285e-08i
8.41140747070312+0i,415.304363115606-2.7566392030411e-08i
8.74786376953125+0i,415.304363770169-2.2625688907806e-08i
9.08432006835938+0i,415.304364505629-1.59938809545428e-08i
9.4207763671875+0i,415.304365048926-1.04702758287199e-08i
9.75723266601562+0i,415.304365272766-7.74262205876084e-09i
10.0936889648438+0i,415.304365217806-7.85803524537097e-09i
10.4301452636719+0i,415.304365027556-9.71456020582506e-09i
10.7666015625+0i,415.304364863356-1.1780609021108e-08i
11.1030578613281+0i,415.304364820312-1.31868321000954e-08i
11.4395141601562+0i,415.304364896084-1.40309263710669e-08i
11.7759704589844+0i,415.304365039779-1.45326325936347e-08i
12.1124267578125+0i,415.304365213967-1.45452290093554e-08i
12.4488830566406+0i,415.304365402555-1.34849366988948e-08i
12.7853393554688+0i,415.304365599647-1.09533289193518e-08i
13.1217956542969+0i,415.304365787386-7.28340130876976e-09i
13.458251953125+0i,415.304365920592-3.76452141295318e-09i
13.7947082519531+0i,415.30436595212-1.95169493042166e-09i
14.1311645507812+0i,415.304365882126-2.42677845624918e-09i
14.4676208496094+0i,415.304365765368-4.30332961078182e-09i
14.8040771484375+0i,415.304365680397-5.85822878150899e-09i
15.1405334472656+0i,415.304365675695-5.75941971222448e-09i
15.4769897460938+0i,415.30436573172-4.12835663435007e-09i
15.8134460449219+0i,415.304365776112-2.40525036627866e-09i
16.14990234375+0i,415.304365738435-2.11377611210094e-09i
16.4863586425781+0i,415.304365610161-3.63664545239691e-09i
16.8228149414062+0i,415.304365443217-6.03598534428267e-09i
17.1592712402344+0i,415.304365300275-8.33667699500344e-09i
17.4957275390625+0i,415.304365192815-1.08696912103668e-08i
17.8321838378906+0i,415.304365066413-1.55122876494108e-08i
18.1686401367188+0i,415.304364848037-2.41888398455393e-08i
18.5050964355469+0i,415.304364524672-3.64867864021459e-08i
18.841552734375+0i,415.304364186922-4.91460517553759e-08i
19.1780090332031+0i,415.304363977317-5.76198992344649e-08i
19.5144653320312+0i,415.304363972047-6.04576595042051e-08i
19.8509216308594+0i,415.304364092784-6.14919456140978e-08i
20.1873779296875+0i,415.304364086467-6.97177484578091e-08i
20.5238342285156+0i,415.304363647758-9.40592119442362e-08i
20.8602905273438+0i,415.304362633211-1.35718014416381e-07i
21.1967468261719+0i,415.304361192233-1.8456284301422e-07i
21.533203125+0i,415.30435974046-2.22292602831346e-07i
21.8696594238281+0i,415.304358773182-2.31425007802575e-07i
22.2061157226562+0i,415.304358622343-2.06003501166922e-07i
22.5425720214844+0i,415.304359258319-1.57228840073737e-07i
22.8790283203125+0i,415.304360260006-1.11171416294653e-07i
23.2154846191406+0i,415.304361076837-9.44694263273484e-08i
23.5519409179688+0i,415.304361304606-1.20539507000196e-07i
23.8883972167969+0i,415.304360871561-1.81561236215861e-07i
24.224853515625+0i,415.30436010682-2.51048324400801e-07i
24.5613098144531+0i,415.304359503121-2.97650835936902e-07i
24.8977661132812+0i,415.304359467618-2.99940854777964e-07i
25.2342224121094+0i,415.304360127863-2.56498128102439e-07i
25.5706787109375+0i,415.304361263798-1.85672388853422e-07i
25.9071350097656+0i,415.304362476609-1.14720290503983e-07i
26.2435913085938+0i,415.30436346648-6.36501176228226e-08i
26.5800476074219+0i,415.304364104195-3.93731725849814e-08i
26.91650390625+0i,415.304364448891-3.5315297359249e-08i
27.2529602050781+0i,415.304364627484-3.93930513041244e-08i
27.5894165039062+0i,415.304364714486-4.25228993545293e-08i
27.9258728027344+0i,415.304364684658-4.33527705991652e-08i
28.2623291015625+0i,415.304364540306-4.39205768267829e-08i
28.5987854003906+0i,415.304364413051-4.4436772077774e-08i
28.9352416992188+0i,415.304364519492-4.07878863790557e-08i
29.2716979980469+0i,415.304365011467-2.82474984575779e-08i
29.608154296875+0i,415.304365684767-1.04506487467322e-08i
29.9446105957031+0i,415.304365931685-3.82701593700133e-09i
30.2810668945312+0i,415.304365005331-3.14224117062361e-08i
30.6175231933594+0i,415.304362548423-1.06715946658667e-07i
30.9539794921875+0i,415.304359073729-2.17448580483469e-07i
31.2904357910156+0i,415.304356008296-3.20530255754301e-07i
31.6268920898438+0i,415.304355045483-3.60472948716663e-07i
31.9633483886719+0i,415.304357015831-3.05063418592625e-07i
32.2998046875+0i,415.304360927227-1.77316223560474e-07i
32.6362609863281+0i,415.304363844235-6.5754633942294e-08i
32.9727172851562+0i,415.304361819884-9.69079761728935e-08i
33.3091735839844+0i,415.304351778718-3.76754971920478e-07i
33.6456298828125+0i,415.30433338446-9.27157656323816e-07i
33.9820861816406+0i,415.304309765026-1.65795379811596e-06i
34.3185424804688+0i,415.304286817498-2.38243695221256e-06i
34.6549987792969+0i,415.304271027155-2.8903805688682e-06i
34.991455078125+0i,415.304267020644-3.02353290901761e-06i
35.3279113769531+0i,415.304275651097-2.74798010193648e-06i
35.6643676757812+0i,415.304293891169-2.15912085256788e-06i
36.0008239746094+0i,415.304316276055-1.43735359434924e-06i
36.3372802734375+0i,415.30433697196-7.76639203167014e-07i
36.6737365722656+0i,415.304351831314-3.16105405264626e-07i
37.0101928710938+0i,415.304359467838-9.84010582739913e-08i
37.3466491699219+0i,415.304360956876-8.16770847323462e-08i
37.68310546875+0i,415.304358845695-1.74226689070431e-07i
38.0195617675781+0i,415.304355727821-2.8564570619798e-07i
38.3560180664062+0i,415.304353457481-3.54725591077683e-07i
38.6924743652344+0i,415.304352737325-3.64625263293534e-07i
39.0289306640625+0i,415.30435341382-3.29468365723097e-07i
39.3653869628906+0i,415.304354887781-2.78715874239661e-07i
39.7018432617188+0i,415.304356507038-2.38849520547625e-07i
40.0382995605469+0i,415.304357860063-2.24566859834056e-07i
40.374755859375+0i,415.304358803266-2.35010826410859e-07i
40.7112121582031+0i,415.304359421919-2.55706849029714e-07i
41.0476684570312+0i,415.304359932941-2.68980049371506e-07i
41.3841247558594+0i,415.304360581123-2.56977640242149e-07i
41.7205810546875+0i,415.304361484877-2.12735977721748e-07i
42.0570373535156+0i,415.30436260036-1.43625381477577e-07i
42.3934936523438+0i,415.304363732569-6.7635510544244e-08i
42.7299499511719+0i,415.30436462128-4.4018909689025e-09i
43.06640625+0i,415.304365060277+3.13404586025932e-08i
43.4028625488281+0i,415.304365008179+3.81471739947553e-08i
43.7393188476562+0i,415.304364589222+2.66207813820173e-08i
44.0757751464844+0i,415.304364047348+1.34042347255606e-08i
44.4122314453125+0i,415.304363622517+1.33612086805657e-08i
44.7486877441406+0i,415.304363428909+3.26753731011123e-08i
45.0851440429688+0i,415.304363448883+6.9017964033996e-08i
45.4216003417969+0i,415.304363548346+1.15902871920342e-07i
45.758056640625+0i,415.304363571096+1.64944775435536e-07i
46.0945129394531+0i,415.30436339283+2.09506771658059e-07i
46.4309692382812+0i,415.304362973964+2.4407931447293e-07i
46.7674255371094+0i,415.304362346391+2.62856558051512e-07i
47.1038818359375+0i,415.304361548987+2.60583709450607e-07i
47.4403381347656+0i,415.30436065271+2.35113553103264e-07i
47.7767944335938+0i,415.304359708927+1.90179078391519e-07i
48.1132507324219+0i,415.304358845249+1.35045161190551e-07i
48.44970703125+0i,415.30435825006+8.23852285731921e-08i
48.7861633300781+0i,415.304358197523+4.57719542818836e-08i
49.1226196289062+0i,415.304358808436+3.13582111665151e-08i
49.4590759277344+0i,415.304360047578+4.43532044593169e-08i
49.7955322265625+0i,415.304361625046+8.43864452145569e-08i
50.1319885253906+0i,415.304363034503+1.49437034535214e-07i
50.4684448242188+0i,415.304363753785+2.32732572014413e-07i
50.8049011230469+0i,415.304363404632+3.18126117155026e-07i
51.141357421875+0i,415.304361885579+3.79524783436182e-07i
51.4778137207031+0i,415.30435935778+3.83764550467866e-07i
51.8142700195312+0i,415.304356141381+3.07610523158687e-07i
52.1507263183594+0i,415.304352610897+1.50695299804797e-07i
52.4871826171875+0i,415.304349302937-5.50537868959216e-08i
52.8236389160156+0i,415.304346793103-2.57962052392777e-07i
53.1600952148438+0i,415.304345589543-4.16521870472128e-07i
53.4965515136719+0i,415.304345803221-5.2518339478134e-07i
53.8330078125+0i,415.304346666494-6.37615195238893e-07i
54.1694641113281+0i,415.304346382952-8.35476960208405e-07i
54.5059204101562+0i,415.304342533269-1.18679826784048e-06i
54.8423767089844+0i,415.304333104124-1.67203867938563e-06i
55.1788330078125+0i,415.304317748965-2.17098945996628e-06i
55.5152893066406+0i,415.304298497577-2.47914586445103e-06i
55.8517456054688+0i,415.30427940135-2.4075057100608e-06i
56.1882019042969+0i,415.30426495146-1.89162164723029e-06i
56.524658203125+0i,415.304257816729-1.07571975074819e-06i
56.8611145019531+0i,415.304257360679-2.76345725341454e-07i
57.1975708007812+0i,415.304259485788+1.0134129665567e-07i
57.5340270996094+0i,415.304258793916-2.35838627974454e-07i
57.8704833984375+0i,415.304250929352-1.33949089693474e-06i
58.2069396972656+0i,415.304235484649-2.94687468866328e-06i
58.5433959960938+0i,415.304216315252-4.5632270017758e-06i
58.8798522949219+0i,415.304199923268-5.64367744224934e-06i
59.21630859375+0i,415.304192625067-5.77162719879932e-06i
