0.336456298828125+0i,410.483117265911-1.48177114553632e-10i
0.67291259765625+0i,410.483117279685-2.77516078259004e-10i
1.00936889648438+0i,410.483117307132-3.65458717091965e-10i
1.3458251953125+0i,410.483117343129-3.9923097550614e-10i
1.68228149414062+0i,410.483117383781-3.75885651892641e-10i
2.01873779296875+0i,410.483117419738-3.22276966666901e-10i
2.35519409179688+0i,410.483117440696-2.8675135205991e-10i
2.691650390625+0i,410.483117439177-3.33333738854661e-10i
3.02810668945312+0i,410.483117419762-4.82771654842668e-10i
3.36456298828125+0i,410.483117392748-7.08712302201788e-10i
3.70101928710938+0i,410.483117371327-9.45907290161254e-10i
4.0374755859375+0i,410.483117363714-1.11819059186126e-09i
4.37393188476562+0i,410.483117358463-1.26979034434243e-09i
4.71038818359375+0i,410.483117349517-1.41614660803496e-09i
5.04684448242188+0i,410.483117327141-1.61901122384055e-09i
5.38330078125+0i,410.483117294193-1.87512389553353e-09i
5.71975708007812+0i,410.483117270879-2.03130254791337e-09i
6.05621337890625+0i,410.483117269409-1.99551233540918e-09i
6.39266967773438+0i,410.483117277307-1.92363396976746e-09i
6.7291259765625+0i,410.483117262197-2.19828547394767e-09i
7.06558227539062+0i,410.483117185006-3.34678238406628e-09i
7.40203857421875+0i,410.483117045025-5.44874030302425e-09i
7.73849487304688+0i,410.483116897629-7.85890729818363e-09i
8.074951171875+0i,410.483116835413-9.29819137711562e-09i
8.41140747070312+0i,410.483116940408-8.42751479510727e-09i
8.74786376953125+0i,410.483117186364-5.25147869654351e-09i
9.08432006835938+0i,410.483117427421-1.61695532888662e-09i
9.4207763671875+0i,410.483117444941-7.96967086892203e-10i
9.75723266601562+0i,410.483117083257-5.53332815827121e-09i
10.0936889648438+0i,410.483116385197-1.58164507885957e-08i
10.4301452636719+0i,410.48311560812-2.80893419946335e-08i
10.7666015625+0i,410.483115111858-3.68532021233807e-08i
11.1030578613281+0i,410.483115052911-3.99388864138271e-08i
11.4395141601562+0i,410.483115165204-4.3105993591733e-08i
11.7759704589844+0i,410.483114684489-6.24279087159445e-08i
12.1124267578125+0i,410.48311261587-1.19712091392462e-07i
12.4488830566406+0i,410.483108186395-2.33361291689785e-07i
12.7853393554688+0i,410.483101431205-4.05283277470098e-07i
13.1217956542969+0i,410.483093393624-6.13844181803056e-07i
13.458251953125+0i,410.483086037229-8.13579758270352e-07i
13.7947082519531+0i,410.483081507039-9.50173366687302e-07i
14.1311645507812+0i,410.483081241638-9.81905140909853e-07i
14.4676208496094+0i,410.483085510716-8.9367656737836e-07i
14.8040771484375+0i,410.483093103222-7.0828038865079e-07i
15.1405334472656+0i,410.483101806258-4.78879873132635e-07i
15.4769897460938+0i,410.483109374396-2.65814808190496e-07i
15.8134460449219+0i,410.483114263052-1.16365908069826e-07i
16.14990234375+0i,410.4831161215-4.81698467376222e-08i
16.4863586425781+0i,410.483115748779-4.63343910780574e-08i
16.8228149414062+0i,410.483114499676-7.65090354450643e-08i
17.1592712402344+0i,410.483113580364-1.04367677551526e-07i
17.4957275390625+0i,410.483113593633-1.09856322726887e-07i
17.8321838378906+0i,410.483114376066-9.49571064181893e-08i
18.1686401367188+0i,410.483115345696-7.50758825373379e-08i
18.5050964355469+0i,410.48311591749-6.76246544117032e-08i
18.841552734375+0i,410.483115842015-8.04514160453482e-08i
19.1780090332031+0i,410.483115334881-1.06124255519666e-07i
19.5144653320312+0i,410.483114830552-1.29054434540197e-07i
19.8509216308594+0i,410.483114706787-1.34260678656998e-07i
20.1873779296875+0i,410.483115073165-1.15365659322892e-07i
20.5238342285156+0i,410.483115648635-8.13232746475976e-08i
20.8602905273438+0i,410.48311597544-4.97944624290345e-08i
21.1967468261719+0i,410.483115633395-4.03556037425084e-08i
21.533203125+0i,410.483114449485-6.5552693135524e-08i
21.8696594238281+0i,410.4831125841-1.2606895246499e-07i
22.2061157226562+0i,410.483110450052-2.10506257800892e-07i
22.5425720214844+0i,410.483108552431-2.99942583898216e-07i
22.8790283203125+0i,410.483107311746-3.74278052644604e-07i
23.2154846191406+0i,410.48310693219-4.18337087128898e-07i
23.5519409179688+0i,410.483107423812-4.23456851097051e-07i
23.8883972167969+0i,410.483108585515-3.91132349582279e-07i
24.224853515625+0i,410.483110126083-3.30233787727365e-07i
24.5613098144531+0i,410.483111756682-2.54129122561637e-07i
24.8977661132812+0i,410.483113241857-1.77835996820444e-07i
25.2342224121094+0i,410.483114446416-1.13292306537637e-07i
25.5706787109375+0i,410.483115333369-6.71141374315077e-08i
25.9071350097656+0i,410.483115934903-4.01076804606989e-08i
26.2435913085938+0i,410.483116306712-2.86852445269401e-08i
26.5800476074219+0i,410.483116498047-2.75163603327651e-08i
26.91650390625+0i,410.48311654487-3.18694104990324e-08i
27.2529602050781+0i,410.483116479147-3.85951903746558e-08i
27.5894165039062+0i,410.483116344123-4.60960893618075e-08i
27.9258728027344+0i,410.483116237664-5.14421471020853e-08i
28.2623291015625+0i,410.483116252042-5.19705880442211e-08i
28.5987854003906+0i,410.483116439474-4.56371559294201e-08i
28.9352416992188+0i,410.483116769865-3.34352334303146e-08i
29.2716979980469+0i,410.483117118703-2.07388978914668e-08i
29.608154296875+0i,410.483117299808-1.68591324353833e-08i
29.9446105957031+0i,410.483117180734-2.98709922225303e-08i
30.2810668945312+0i,410.483116746986-6.22570886352016e-08i
30.6175231933594+0i,410.483116142801-1.0684904116221e-07i
30.9539794921875+0i,410.483115555677-1.51896928676307e-07i
31.2904357910156+0i,410.483115185839-1.81677502738433e-07i
31.6268920898438+0i,410.483115053924-1.89215353914421e-07i
31.9633483886719+0i,410.483115056578-1.76009803502917e-07i
32.2998046875+0i,410.483115016926-1.51936193861826e-07i
32.6362609863281+0i,410.48311480252-1.29820175701694e-07i
32.9727172851562+0i,410.483114440722-1.16225672618885e-07i
33.3091735839844+0i,410.483114088972-1.1045455756352e-07i
33.6456298828125+0i,410.483113946653-1.05399066224868e-07i
33.9820861816406+0i,410.483114132911-9.35837480580436e-08i
34.3185424804688+0i,410.483114605863-7.30977452992511e-08i
34.6549987792969+0i,410.483115161804-4.96059154420553e-08i
34.991455078125+0i,410.483115615925-3.08508971279206e-08i
35.3279113769531+0i,410.483115832481-2.43435457295313e-08i
35.6643676757812+0i,410.483115808416-3.22257222433222e-08i
36.0008239746094+0i,410.483115608623-5.31432753835772e-08i
36.3372802734375+0i,410.483115299247-8.32105712099411e-08i
36.6737365722656+0i,410.48311488851-1.20046443299837e-07i
37.0101928710938+0i,410.483114368718-1.60421154928282e-07i
37.3466491699219+0i,410.48311376678-1.99486355651815e-07i
37.68310546875+0i,410.483113213255-2.27276326242443e-07i
38.0195617675781+0i,410.483112918514-2.32387179316354e-07i
38.3560180664062+0i,410.48311305536-2.06942845790376e-07i
38.6924743652344+0i,410.483113677525-1.52401870101901e-07i
39.0289306640625+0i,410.483114616595-8.32847401189039e-08i
39.3653869628906+0i,410.483115611129-1.97416309998298e-08i
39.7018432617188+0i,410.483116373072+1.85777347382145e-08i
40.0382995605469+0i,410.483116771511+2.33963788557666e-08i
40.374755859375+0i,410.483116842227-3.44817274811981e-10i
40.7112121582031+0i,410.483116759931-3.72520323381959e-08i
41.0476684570312+0i,410.483116707577-6.98927487554635e-08i
41.3841247558594+0i,410.483116788591-8.62954148433974e-08i
41.7205810546875+0i,410.483116978716-8.26908174420762e-08i
42.0570373535156+0i,410.483117165623-6.33545033130144e-08i
42.3934936523438+0i,410.483117222391-3.68531728319173e-08i
42.7299499511719+0i,410.483117081707-1.0018989036732e-08i
43.06640625+0i,410.483116768178+1.24101850362047e-08i
43.4028625488281+0i,410.483116399313+3.15135934456925e-08i
43.7393188476562+0i,410.48311614657+5.09957981088265e-08i
44.0757751464844+0i,410.483116124453+7.2880423652873e-08i
44.4122314453125+0i,410.483116366083+9.40204468370275e-08i
44.7486877441406+0i,410.48311675794+1.03998717280452e-07i
45.0851440429688+0i,410.48311709355+8.75581927856256e-08i
45.4216003417969+0i,410.483117163244+3.52923453868886e-08i
45.758056640625+0i,410.483116895395-4.59445056611027e-08i
46.0945129394531+0i,410.483116404535-1.28651631331782e-07i
46.4309692382812+0i,410.483115905835-1.74385319219961e-07i
46.7674255371094+0i,410.483115554934-1.53712242442477e-07i
47.1038818359375+0i,410.483115237505-6.67355817069356e-08i
47.4403381347656+0i,410.483114595138+4.92913476528531e-08i
47.7767944335938+0i,410.483113179656+1.4119845538488e-07i
48.1132507324219+0i,410.483110836807+1.66513668385294e-07i
48.44970703125+0i,410.483107929348+1.29520933742742e-07i
48.7861633300781+0i,410.483105352433+8.1556262611354e-08i
49.1226196289062+0i,410.483104051061+8.85438684355092e-08i
49.4590759277344+0i,410.483104562799+1.8510315760753e-07i
49.7955322265625+0i,410.483106553698+3.40067460974803e-07i
50.1319885253906+0i,410.483109079903+4.70366215453594e-07i
50.4684448242188+0i,410.483110982767+4.91959870513971e-07i
50.8049011230469+0i,410.48311170005+3.83868200749328e-07i
51.141357421875+0i,410.48311145039+2.18304723186728e-07i
51.4778137207031+0i,410.483110931337+1.2499128224457e-07i
51.8142700195312+0i,410.483110444882+1.98444109695314e-07i
52.1507263183594+0i,410.483108942468+4.0081771852272e-07i
52.4871826171875+0i,410.483103813288+5.20572039450533e-07i
52.8236389160156+0i,410.483091531814+2.33978119245253e-07i
53.1600952148438+0i,410.483069412654-7.52446279249692e-07i
53.4965515136719+0i,410.48303727764-2.53314438713126e-06i
53.8330078125+0i,410.482998702295-4.88098394319822e-06i
54.1694641113281+0i,410.482960587885-7.26280633219948e-06i
54.5059204101562+0i,410.482931432723-8.98329768224229e-06i
54.8423767089844+0i,410.482918635428-9.42004059119636e-06i
55.1788330078125+0i,410.482925799783-8.26870614757569e-06i
55.5152893066406+0i,410.482951128408-5.7187747622539e-06i
55.8517456054688+0i,410.482988033534-2.41941864107434e-06i
56.1882019042969+0i,410.483027052603+6.86165097613707e-07i
56.524658203125+0i,410.483059431765+2.70928781834892e-06i
56.8611145019531+0i,410.483079906858+3.13762765810599e-06i
57.1975708007812+0i,410.483088390106+2.05649798953146e-06i
57.5340270996094+0i,410.483089173535+1.30046600404773e-07i
57.8704833984375+0i,410.483088439627-1.6462015960364e-06i
58.2069396972656+0i,410.483090819692-2.38222125137423e-06i
58.5433959960938+0i,410.483096864288-1.64293839927125e-06i
58.8798522949219+0i,410.483102590574+3.34194491427315e-07i
59.21630859375+0i,410.48310137476+2.81930084203432e-06i
59.5527648925781+0i,410.483087368383+4.92047527043116e-06i
59.8892211914062+0i,410.483058686768+6.03354264177742e-06i
60.2256774902344+0i,410.483018785744+6.11218760208213e-06i
60.5621337890625+0i,410.482975385591+5.64681427750741e-06i
60.8985900878906+0i,410.482937613922+5.38813322212419e-06i
61.2350463867188+0i,410.482912395962+5.96295432487357e-06i
61.5715026855469+0i,410.482902264908+7.60410551850219e-06i
61.907958984375+0i,410.482905269284+1.01131846186003e-05i
62.2444152832031+0i,410.482916022392+1.30448822537592e-05i
62.5808715820312+0i,410.482928042854+1.59808369768726e-05i
62.9173278808594+0i,410.482934871293+1.87153042820784e-05i
63.2537841796875+0i,410.482930636634+2.12580943918366e-05i
63.5902404785156+0i,410.482909369953+2.37157409261859e-05i
63.9266967773438+0i,410.482864914699+2.61405704370579e-05i
64.2631530761719+0i,410.482791185438+2.84714174140721e-05i
64.599609375+0i,410.482683673739+3.06543497755703e-05i
64.9360656738281+0i,410.482541021588+3.28033174267203e-05i
65.2725219726562+0i,410.482366161256+3.53581862700984e-05i
65.6089782714844+0i,410.48216576675+3.90874930120868e-05i
65.9454345703125+0i,410.481948917007+4.49717678201928e-05i
66.2818908691406+0i,410.481724445843+5.39855827387614e-05i
66.6183471679688+0i,410.481497460554+6.68579350209486e-05i
66.9548034667969+0i,410.481266324804+8.38842925306051e-05i
67.291259765625+0i,410.481020016734+0.000104852929357407i
67.6277160644531+0i,410.480736372373+0.000129038809729952i
67.9641723632812+0i,410.480381587006+0.000155302989600151i
68.3006286621094+0i,410.479912241131+0.000182402021094205i
68.6370849609375+0i,410.479278366667+0.00020938416139562i
68.9735412597656+0i,410.47842921642+0.00023624319002972i
69.3099975585938+0i,410.477320753949+0.000264466203204839i
69.6464538574219+0i,410.475918936014+0.000297443714753019i
69.98291015625+0i,410.474203064637+0.000340481423156149i
70.3193664550781+0i,410.472164324748+0.000400353911003254i
70.6558227539062+0i,410.469800736999+0.000484587772260554i
70.9922790527344+0i,410.46710266755+0.00060049712660123i
71.3287353515625+0i,410.464047328047+0.000754466396441933i
71.6651916503906+0i,410.460596417429+0.000950943783651157i
72.0016479492188+0i,410.456685598129+0.00119246270704408i
72.3381042480469+0i,410.452226112978+0.00147980047793018i
72.674560546875+0i,410.447101848542+0.00181208804619015i
73.0110168457031+0i,410.44118138485+0.00218786527283842i
73.3474731445312+0i,410.434329184938+0.00260548738906845i
73.6839294433594+0i,410.426419703974+0.00306403288054127i
74.0203857421875+0i,410.417358378544+0.00356390501227414i
74.3568420410156+0i,410.407098854395+0.00410731747595739i
74.6932983398438+0i,410.395653760861+0.00469809635087379i
75.0297546386719+0i,410.383093915504+0.00534076778247227i
75.3662109375+0i,410.36954253826+0.00603958484239931i
75.7026672363281+0i,410.355159873153+0.0067969291093698i
76.0391235351562+0i,410.340103299673+0.0076115855417666i
76.3755798339844+0i,410.324512731957+0.00847805335508809i
76.7120361328125+0i,410.308487325169+0.00938646512055296i
77.0484924316406+0i,410.292059117657+0.0103230078000306i
77.3849487304688+0i,410.275207246746+0.0112716346550638i
77.7214050292969+0i,410.257853060804+0.0122163161817115i
78.057861328125+0i,410.23989864486+0.0131433170654491i
78.3943176269531+0i,410.221228213362+0.0140431000623587i
78.7307739257812+0i,410.20176804754+0.0149132773884472i
79.0672302246094+0i,410.181482165496+0.0157580828412615i
79.4036865234375+0i,410.16039588185+0.0165890607251012i
79.7401428222656+0i,410.138592020301+0.0174233482303372i
80.0765991210938+0i,410.116188996382+0.0182813645527099i
80.4130554199219+0i,410.093318892365+0.0191837435990814i
80.74951171875+0i,410.070082565151+0.0201480522681439i
81.0859680175781+0i,410.046533673095+0.0211877009101171i
81.4224243164062+0i,410.022636179768+0.0223094109027526i
81.7588806152344+0i,409.998264648874+0.02351482944475i
82.0953369140625+0i,409.973202221981+0.0248017472544111i
82.4317932128906+0i,409.947167097819+0.0261670162813112i
82.7682495117188+0i,409.919830322849+0.0276097806609781i
83.1047058105469+0i,409.890851098987+0.0291337611805837i
83.441162109375+0i,409.859902706572+0.0307501452393043i
83.7776184082031+0i,409.826700837861+0.0324775681305385i
84.1140747070312+0i,409.790997327293+0.0343425103156889i
84.4505310058594+0i,409.752595602865+0.0363766977657066i
84.7869873046875+0i,409.711312085047+0.0386138163785722i
85.1234436035156+0i,409.666930443542+0.0410862462090887i
85.4598999023438+0i,409.619198399462+0.0438207771641488i
85.7963562011719+0i,409.56774626315+0.0468363602042396i
86.1328125+0i,409.512069893207+0.0501413165982637i
86.4692687988281+0i,409.451508374179+0.0537356712510261i
86.8057250976562+0i,409.385240680926+0.0576121642548221i
87.1421813964844+0i,409.312273174656+0.0617595599140805i
87.4786376953125+0i,409.231490620013+0.0661704168537173i
87.8150939941406+0i,409.141665108866+0.0708454428363825i
88.1515502929688+0i,409.04152234632+0.0758014726331478i
88.4880065917969+0i,408.929738886975+0.0810771192164225i
88.824462890625+0i,408.804972349494+0.0867388972736244i
89.1609191894531+0i,408.665864256365+0.0928870926191151i
89.4973754882812+0i,408.511023110298+0.0996572833335756i
89.8338317871094+0i,408.338935635982+0.107225064980986i
90.1702880859375+0i,408.14781025931+0.115797098407118i
90.5067443847656+0i,407.935508546539+0.12561475096945i
90.8432006835938+0i,407.699256324783+0.13694644157639i
91.1796569824219+0i,407.435421812672+0.150076853499013i
91.51611328125+0i,407.139237297051+0.165312260425714i
91.8525695800781+0i,406.804454970919+0.182970350130336i
92.1890258789062+0i,406.422971909657+0.203390064812474i
92.5254821777344+0i,405.98444746942+0.22694111725582i
92.8619384765625+0i,405.475731749727+0.254054186535072i
93.1983947753906+0i,404.880281303537+0.285247317746316i
93.5348510742188+0i,404.1772666112+0.321192089969357i
93.8713073730469+0i,403.340448122137+0.362777907343413i
94.207763671875+0i,402.336521106794+0.411224735678752i
94.5442199707031+0i,401.122826769205+0.468247387778994i
94.8806762695312+0i,399.643665738419+0.536232397339241i
95.2171325683594+0i,397.824954467587+0.618555304133681i
95.5535888671875+0i,395.566237330515+0.719972395198413i
95.8900451660156+0i,392.727512831816+0.847215861731432i
96.2265014648438+0i,389.109108401231+1.00982195845431i
96.5629577636719+0i,384.418271996696+1.22143212484801i
96.8994140625+0i,378.214870185628+1.50173159748137i
97.2358703613281+0i,369.81849390042+1.87935637502117i
97.5723266601562+0i,358.149560341851+2.39616626883894i
97.9087829589844+0i,341.457567366624+3.11237255184461i
98.2452392578125+0i,316.875686636806+4.10878457027793i
98.5816955566406+0i,279.834107395434+5.46945731108552i
98.9181518554688+0i,224.036571146723+7.19329744840777i
99.2546081542969+0i,145.5132286451+8.95561790736133i
99.591064453125+0i,59.3126747365641+9.99580642518065i
99.9275207519531+0i,17.8093736388935+10.1270426713339i
100.263977050781+0i,17.8081644708548+10.0449716652737i
100.600433349609+0i,17.8107260573502+9.95273689830724i
