0.336456298828125+0i,411.750722541202-2.76136099303741e-12i
0.67291259765625+0i,411.750722541782-5.28184712515269e-12i
1.00936889648438+0i,411.750722541468-8.31701674567584e-12i
1.3458251953125+0i,411.750722538973-1.36206788170524e-11i
1.68228149414062+0i,411.750722534091-2.24104121163217e-11i
2.01873779296875+0i,411.750722526813-3.69455344543305e-11i
2.35519409179688+0i,411.750722518964-5.27127901674751e-11i
2.691650390625+0i,411.750722512676-6.69072902740571e-11i
3.02810668945312+0i,411.750722509521-7.05922716803477e-11i
3.36456298828125+0i,411.750722509986-5.99963932152267e-11i
3.70101928710938+0i,411.750722513-3.41303292811879e-11i
4.0374755859375+0i,411.750722517707+7.04636335752046e-12i
4.37393188476562+0i,411.750722521625+4.09760031978702e-11i
4.71038818359375+0i,411.750722524372+7.40135549786686e-11i
5.04684448242188+0i,411.750722526023+9.83562304143147e-11i
5.38330078125+0i,411.75072252789+1.07364775407365e-10i
5.71975708007812+0i,411.75072253052+1.29702864895529e-10i
6.05621337890625+0i,411.750722533465+1.62310004939584e-10i
6.39266967773438+0i,411.750722535129+2.08328933079268e-10i
6.7291259765625+0i,411.750722533295+2.59910381301019e-10i
7.06558227539062+0i,411.750722526034+3.07425995083607e-10i
7.40203857421875+0i,411.750722513758+3.98684689450297e-10i
7.73849487304688+0i,411.750722498307+5.44054709092418e-10i
8.074951171875+0i,411.750722482892+7.87739241889515e-10i
8.41140747070312+0i,411.750722468158+1.18139169790688e-09i
8.74786376953125+0i,411.750722456378+1.74332836641923e-09i
9.08432006835938+0i,411.750722447041+2.3951281005409e-09i
9.4207763671875+0i,411.750722439402+3.00662319333483e-09i
9.75723266601562+0i,411.750722431222+3.52614084855008e-09i
10.0936889648438+0i,411.750722424362+3.74797583281641e-09i
10.4301452636719+0i,411.750722419363+3.71300610510678e-09i
10.7666015625+0i,411.750722417609+3.38860776735224e-09i
11.1030578613281+0i,411.7507224207+2.85282799933719e-09i
11.4395141601562+0i,411.750722427173+2.35049961182374e-09i
11.7759704589844+0i,411.750722437248+1.84461100713494e-09i
12.1124267578125+0i,411.750722448756+1.50416878258435e-09i
12.4488830566406+0i,411.750722459445+1.26104580439965e-09i
12.7853393554688+0i,411.750722465681+9.41063893100937e-10i
13.1217956542969+0i,411.750722461827+4.3099770464339e-10i
13.458251953125+0i,411.750722439256-7.23883928402531e-10i
13.7947082519531+0i,411.750722389684-2.67996561214651e-09i
14.1311645507812+0i,411.750722310268-5.68732222723432e-09i
14.4676208496094+0i,411.750722202557-9.63529285712123e-09i
14.8040771484375+0i,411.75072207965-1.4246556250643e-08i
15.1405334472656+0i,411.750721959123-1.89888171100686e-08i
15.4769897460938+0i,411.7507218624-2.31555057745588e-08i
15.8134460449219+0i,411.750721805747-2.57974239872864e-08i
16.14990234375+0i,411.75072179518-2.62658688448352e-08i
16.4863586425781+0i,411.750721825043-2.43150691800594e-08i
16.8228149414062+0i,411.750721880038-1.99092856818821e-08i
17.1592712402344+0i,411.750721944809-1.31815671696372e-08i
17.4957275390625+0i,411.750722001762-5.45624290689915e-09i
17.8321838378906+0i,411.750722044183+2.3572610412567e-09i
18.1686401367188+0i,411.750722067367+8.83033539657234e-09i
18.5050964355469+0i,411.750722075298+1.31711639795258e-08i
18.841552734375+0i,411.750722068083+1.43801248225056e-08i
19.1780090332031+0i,411.750722045189+1.16585318195232e-08i
19.5144653320312+0i,411.750722011318+4.77459265668258e-09i
19.8509216308594+0i,411.750721962642-5.53401072167218e-09i
20.1873779296875+0i,411.750721907887-1.82774511584736e-08i
20.5238342285156+0i,411.750721852283-3.26076745584328e-08i
20.8602905273438+0i,411.750721809376-4.63470426772304e-08i
21.1967468261719+0i,411.750721784426-5.78670015992681e-08i
21.533203125+0i,411.750721781142-6.57127502746861e-08i
21.8696594238281+0i,411.750721796596-6.92382584015405e-08i
22.2061157226562+0i,411.750721814802-6.9000370130031e-08i
22.5425720214844+0i,411.750721824618-6.6088039060876e-08i
22.8790283203125+0i,411.750721815722-6.14941649051894e-08i
23.2154846191406+0i,411.750721778922-5.86821808770277e-08i
23.5519409179688+0i,411.750721715873-5.84248081004568e-08i
23.8883972167969+0i,411.750721630881-6.26929205201833e-08i
24.224853515625+0i,411.750721527747-7.36098014802156e-08i
24.5613098144531+0i,411.750721419341-9.08574891202712e-08i
24.8977661132812+0i,411.750721307793-1.12717470520924e-07i
25.2342224121094+0i,411.750721197198-1.37867063277116e-07i
25.5706787109375+0i,411.750721091975-1.64262684461183e-07i
25.9071350097656+0i,411.750720993845-1.87325884420983e-07i
26.2435913085938+0i,411.750720899591-2.04681715689204e-07i
26.5800476074219+0i,411.75072080231-2.16456081014941e-07i
26.91650390625+0i,411.750720701987-2.18456296402861e-07i
27.2529602050781+0i,411.750720582448-2.13998252667352e-07i
27.5894165039062+0i,411.750720435858-2.04839149590311e-07i
27.9258728027344+0i,411.750720247208-1.95232804990809e-07i
28.2623291015625+0i,411.750720022072-1.87293765534992e-07i
28.5987854003906+0i,411.750719765893-1.83250353770619e-07i
28.9352416992188+0i,411.750719481488-1.87574714021887e-07i
29.2716979980469+0i,411.750719187514-2.03088646183858e-07i
29.608154296875+0i,411.75071890155-2.2609989920678e-07i
29.9446105957031+0i,411.750718643175-2.57582623513657e-07i
30.2810668945312+0i,411.750718428539-2.92215586087245e-07i
30.6175231933594+0i,411.750718256936-3.28231464828847e-07i
30.9539794921875+0i,411.750718135748-3.5689460376185e-07i
31.2904357910156+0i,411.750718053949-3.80510377812489e-07i
31.6268920898438+0i,411.75071799443-3.9480761403635e-07i
31.9633483886719+0i,411.750717932923-4.04247663209609e-07i
32.2998046875+0i,411.750717847127-4.10421014028459e-07i
32.6362609863281+0i,411.750717723813-4.15720894024269e-07i
32.9727172851562+0i,411.750717545931-4.26829915938888e-07i
33.3091735839844+0i,411.750717304552-4.49516250611816e-07i
33.6456298828125+0i,411.750717018027-4.818289567137e-07i
33.9820861816406+0i,411.75071668961-5.28952560625025e-07i
34.3185424804688+0i,411.750716345922-5.88471740392537e-07i
34.6549987792969+0i,411.75071600638-6.52590718409437e-07i
34.991455078125+0i,411.750715695033-7.22835336377956e-07i
35.3279113769531+0i,411.750715428535-7.86011910342338e-07i
35.6643676757812+0i,411.75071521972-8.38704509654198e-07i
36.0008239746094+0i,411.750715072211-8.69824219035502e-07i
36.3372802734375+0i,411.750714954231-8.8747487931886e-07i
36.6737365722656+0i,411.75071486032-8.83992499465099e-07i
37.0101928710938+0i,411.750714752267-8.67372544655051e-07i
37.3466491699219+0i,411.750714591344-8.50113792646304e-07i
37.68310546875+0i,411.750714354002-8.35240627780751e-07i
38.0195617675781+0i,411.750714007671-8.41379218236584e-07i
38.3560180664062+0i,411.750713548579-8.64093533245259e-07i
