0.336456298828125+0i,411.664539484503-4.5718135369199e-12i
0.67291259765625+0i,411.664539476614-1.98108065669433e-11i
1.00936889648438+0i,411.664539465151-5.24617279300424e-11i
1.3458251953125+0i,411.664539454301-9.94201780619214e-11i
1.68228149414062+0i,411.664539447331-1.49975303687491e-10i
2.01873779296875+0i,411.664539447217-1.88104785650691e-10i
2.35519409179688+0i,411.664539452649-2.04630084474908e-10i
2.691650390625+0i,411.664539462859-1.95200682888934e-10i
3.02810668945312+0i,411.66453947273-1.71415818122594e-10i
3.36456298828125+0i,411.664539477257-1.53110453491214e-10i
3.70101928710938+0i,411.664539472451-1.66256548977271e-10i
4.0374755859375+0i,411.664539458727-2.25274771520504e-10i
4.37393188476562+0i,411.66453943961-3.16648205780099e-10i
4.71038818359375+0i,411.66453942215-4.14993884159583e-10i
5.04684448242188+0i,411.664539415034-4.72296868052485e-10i
5.38330078125+0i,411.664539418525-4.72904910223548e-10i
5.71975708007812+0i,411.664539433982-3.99927018621421e-10i
6.05621337890625+0i,411.664539456058-2.4946535236291e-10i
6.39266967773438+0i,411.664539475611-8.59193139481864e-11i
6.7291259765625+0i,411.664539486553+9.45661871074736e-11i
7.06558227539062+0i,411.66453948684+2.65290861791799e-10i
7.40203857421875+0i,411.664539478269+4.55856733048587e-10i
7.73849487304688+0i,411.664539465533+6.86956379223092e-10i
8.074951171875+0i,411.664539453575+9.58422646937225e-10i
8.41140747070312+0i,411.664539443832+1.27624690778383e-09i
8.74786376953125+0i,411.664539435751+1.59907316223787e-09i
9.08432006835938+0i,411.664539425682+1.85222578770604e-09i
9.4207763671875+0i,411.664539413224+1.94016654227625e-09i
9.75723266601562+0i,411.664539394745+1.90051472762359e-09i
10.0936889648438+0i,411.664539375584+1.69677411290376e-09i
10.4301452636719+0i,411.664539358163+1.31765448426504e-09i
10.7666015625+0i,411.664539347133+8.14061785125028e-10i
11.1030578613281+0i,411.66453934723+1.08155534679189e-10i
11.4395141601562+0i,411.664539358066-6.55329990002875e-10i
11.7759704589844+0i,411.66453937933-1.51621261692155e-09i
12.1124267578125+0i,411.664539405491-2.52596770276961e-09i
12.4488830566406+0i,411.6645394299-3.38810262661452e-09i
12.7853393554688+0i,411.66453944361-4.1477835623777e-09i
13.1217956542969+0i,411.664539439716-4.53325605080691e-09i
13.458251953125+0i,411.664539413419-4.80666278542272e-09i
13.7947082519531+0i,411.664539366126-4.9356357612294e-09i
14.1311645507812+0i,411.664539304754-5.2338785752603e-09i
14.4676208496094+0i,411.664539242154-5.41690273701585e-09i
14.8040771484375+0i,411.664539187179-6.01280388567699e-09i
15.1405334472656+0i,411.66453914982-6.80361778409803e-09i
15.4769897460938+0i,411.66453913258-7.9087212104233e-09i
15.8134460449219+0i,411.664539135775-8.86804299518824e-09i
16.14990234375+0i,411.664539151243-1.03583178946205e-08i
16.4863586425781+0i,411.664539173388-1.1964931019212e-08i
16.8228149414062+0i,411.664539192478-1.40669395275474e-08i
17.1592712402344+0i,411.664539201268-1.66191018250097e-08i
17.4957275390625+0i,411.664539190917-1.98961304112679e-08i
17.8321838378906+0i,411.664539152331-2.42664808516333e-08i
18.1686401367188+0i,411.664539081962-2.97073579918991e-08i
18.5050964355469+0i,411.664538975768-3.68980750062982e-08i
18.841552734375+0i,411.664538843403-4.5241784755361e-08i
19.1780090332031+0i,411.664538699147-5.43480545394817e-08i
19.5144653320312+0i,411.664538563611-6.35391861954103e-08i
19.8509216308594+0i,411.664538455835-7.21032584834132e-08i
20.1873779296875+0i,411.664538394126-7.83255079403721e-08i
20.5238342285156+0i,411.664538381507-8.24781770380509e-08i
20.8602905273438+0i,411.664538416458-8.33630949095156e-08i
21.1967468261719+0i,411.664538488032-8.15051806736871e-08i
21.533203125+0i,411.664538579694-7.72495735477211e-08i
21.8696594238281+0i,411.664538676081-7.1898144897419e-08i
22.2061157226562+0i,411.664538762498-6.63314431654903e-08i
22.5425720214844+0i,411.664538831528-6.13395014754632e-08i
22.8790283203125+0i,411.664538875485-5.80782069102587e-08i
23.2154846191406+0i,411.664538889121-5.70087118229474e-08i
23.5519409179688+0i,411.664538866386-5.93444903832596e-08i
23.8883972167969+0i,411.664538803736-6.46884947846625e-08i
24.224853515625+0i,411.664538694957-7.287793111184e-08i
24.5613098144531+0i,411.664538535441-8.37864300040784e-08i
24.8977661132812+0i,411.664538318172-9.80846460973667e-08i
25.2342224121094+0i,411.664538043925-1.13460891633176e-07i
25.5706787109375+0i,411.664537712499-1.30689516975297e-07i
25.9071350097656+0i,411.664537327231-1.47616927618512e-07i
26.2435913085938+0i,411.664536907172-1.66078744933639e-07i
26.5800476074219+0i,411.664536486416-1.82911064128955e-07i
26.91650390625+0i,411.664536101224-1.99387908710968e-07i
27.2529602050781+0i,411.664535794706-2.14509759160686e-07i
27.5894165039062+0i,411.664535604927-2.29036128444572e-07i
27.9258728027344+0i,411.664535541929-2.42115789402686e-07i
28.2623291015625+0i,411.664535606333-2.57141948268311e-07i
28.5987854003906+0i,411.664535760784-2.71862934980767e-07i
28.9352416992188+0i,411.66453596891-2.8627068774574e-07i
29.2716979980469+0i,411.664536179031-3.0003661018464e-07i
29.608154296875+0i,411.664536354055-3.11153215584869e-07i
29.9446105957031+0i,411.664536466323-3.18815568762879e-07i
30.2810668945312+0i,411.664536502564-3.19064711211217e-07i
30.6175231933594+0i,411.664536451547-3.15757259422434e-07i
30.9539794921875+0i,411.664536314877-3.05804109044446e-07i
31.2904357910156+0i,411.664536106335-2.88423538333784e-07i
31.6268920898438+0i,411.664535835002-2.67662613445627e-07i
31.9633483886719+0i,411.664535524176-2.47289089486829e-07i
32.2998046875+0i,411.664535200006-2.28883170516646e-07i
32.6362609863281+0i,411.664534892084-2.17406531639485e-07i
32.9727172851562+0i,411.664534621455-2.21086324396819e-07i
33.3091735839844+0i,411.66453439647-2.41934694753252e-07i
33.6456298828125+0i,411.664534205537-2.83028569877541e-07i
33.9820861816406+0i,411.664534021913-3.48641871709366e-07i
34.3185424804688+0i,411.664533807583-4.31385756979598e-07i
34.6549987792969+0i,411.664533531087-5.31965080553404e-07i
34.991455078125+0i,411.664533161792-6.40072786772333e-07i
35.3279113769531+0i,411.664532695062-7.48133027349612e-07i
35.6643676757812+0i,411.664532127349-8.49283443216498e-07i
36.0008239746094+0i,411.664531492814-9.34654804041413e-07i
36.3372802734375+0i,411.664530824642-9.98461024795482e-07i
36.6737365722656+0i,411.664530168909-1.03244728658684e-06i
37.0101928710938+0i,411.664529556039-1.04416491064145e-06i
37.3466491699219+0i,411.664529031082-1.02492823774421e-06i
37.68310546875+0i,411.664528588048-9.90164481454781e-07i
38.0195617675781+0i,411.664528234681-9.45999546277435e-07i
38.3560180664062+0i,411.664527953383-9.01222178532821e-07i
38.6924743652344+0i,411.664527681882-8.71084454041056e-07i
39.0289306640625+0i,411.664527391813-8.58298672205362e-07i
39.3653869628906+0i,411.664527026824-8.66530111738157e-07i
39.7018432617188+0i,411.664526523935-9.05777489725494e-07i
40.0382995605469+0i,411.664525855444-9.71790433892042e-07i
40.374755859375+0i,411.664525008568-1.06659178883538e-06i
40.7112121582031+0i,411.664523979154-1.18746965542766e-06i
