2.691650390625+0i,9.51129350672944-0.00238478907022839i
5.38330078125+0i,2.41776239122631+0.131908934606238i
8.074951171875+0i,0.800706124197893+0.333704887466505i
10.7666015625+0i,0.364737858057813+0.287471820699875i
13.458251953125+0i,-0.041388629532379+0.205323346908975i
16.14990234375+0i,-0.306368608340403-0.00595692355013134i
18.841552734375+0i,-0.526848748654145-0.130423795822826i
21.533203125+0i,-0.69559791727611-0.096383148431863i
24.224853515625+0i,-0.735848042497143-0.0238596125883357i
26.91650390625+0i,-0.949687709911018-0.255649110925157i
29.608154296875+0i,-1.04033225736432-0.412858318435151i
32.2998046875+0i,-0.895888668050555-0.330327521113756i
34.991455078125+0i,-0.75423498232041-0.108286628057119i
37.68310546875+0i,-0.783491901728451+0.0901429801828403i
40.374755859375+0i,-0.773042953932572+0.314528201362205i
43.06640625+0i,-0.67346880703382+0.385589688535366i
45.758056640625+0i,-0.662518912596535+0.494408608564308i
48.44970703125+0i,-0.652129535805827+0.459898601332167i
51.141357421875+0i,-0.862526652138316+0.491097541674996i
53.8330078125+0i,-0.941214145576858+0.495585222459987i
56.524658203125+0i,-0.934086426121698+0.39891941489814i
59.21630859375+0i,-0.932302252383795+0.417105509012779i
61.907958984375+0i,-0.865796528185426+0.349104937948535i
64.599609375+0i,-0.859076220859009+0.313550297634514i
67.291259765625+0i,-0.845204232227149+0.241635924156452i
69.98291015625+0i,-0.812130493711285+0.158747909418496i
72.674560546875+0i,-0.83785061255422+0.0678779318981134i
75.3662109375+0i,-0.869926800971235+0.0258052929242937i
78.057861328125+0i,-0.889322087503708+0.0114904449032147i
80.74951171875+0i,-0.896818570120038-0.0578539976109285i
83.441162109375+0i,-0.90439671929127-0.0663715667008906i
86.1328125+0i,-0.918189500458398-0.141044032662675i
88.824462890625+0i,-0.932541345959605-0.203708481590571i
91.51611328125+0i,-0.981222981687662-0.247757818390229i
94.207763671875+0i,-0.941718601796631-0.332092452673595i
96.8994140625+0i,-0.938153092013548-0.403524843224274i
99.591064453125+0i,-0.885097859655352-0.485623036169262i
102.28271484375+0i,-0.847571983011037-0.535911481651485i
104.974365234375+0i,-0.816088161306513-0.615187121673002i
107.666015625+0i,-0.750301850737153-0.673115129206392i
110.357666015625+0i,-0.727598348783142-0.766427673009995i
113.04931640625+0i,-0.685868122954174-0.804594603277121i
115.740966796875+0i,-0.657818821729138-0.807722131970788i
118.4326171875+0i,-0.622181810401828-0.84857377454828i
121.124267578125+0i,-0.550830119564855-0.88236809426842i
123.81591796875+0i,-0.553823091393671-0.915223452315156i
126.507568359375+0i,-0.525866951257995-0.947078547336936i
129.19921875+0i,-0.494373395564153-0.97205662905324i
131.890869140625+0i,-0.452722032853504-1.03736280152325i
134.58251953125+0i,-0.390575147892658-1.07210855351526i
137.274169921875+0i,-0.344950342288203-1.08840813972264i
139.9658203125+0i,-0.354243297455219-1.18548711713564i
142.657470703125+0i,-0.255718763913654-1.24277429266644i
145.34912109375+0i,-0.0842836898309457-1.27210943546279i
148.040771484375+0i,0.00909289879489061-1.3445844689124i
150.732421875+0i,0.0054703210027522-1.39162049221752i
153.424072265625+0i,0.140413783015127-1.46212479515664i
156.11572265625+0i,0.19535966262048-1.48975975616779i
158.807373046875+0i,0.331727131770784-1.51879385988045i
161.4990234375+0i,0.436507520547127-1.49384608664721i
164.190673828125+0i,0.529432056963831-1.50987905095635i
166.88232421875+0i,0.520194918777717-1.47473680057759i
169.573974609375+0i,0.627063171142187-1.47937671415761i
172.265625+0i,0.705337860202145-1.48559342277416i
174.957275390625+0i,0.7997539240687-1.52478895734851i
177.64892578125+0i,0.793477519081409-1.50049984101372i
180.340576171875+0i,0.833468218329743-1.46962244193464i
183.0322265625+0i,0.920022758888763-1.44759824915185i
185.723876953125+0i,1.03084958241169-1.39423579004537i
188.41552734375+0i,1.08060231991946-1.30927595904734i
191.107177734375+0i,1.14478450807867-1.24645530319611i
193.798828125+0i,1.16318121058272-1.25469051453043i
196.490478515625+0i,1.18917656817554-1.202613736402i
199.18212890625+0i,1.23794387581237-1.15464398676666i
201.873779296875+0i,1.26558195389715-1.11798958024119i
204.5654296875+0i,1.34074438582824-1.0858928601311i
207.257080078125+0i,1.40938016514153-1.02862470976946i
209.94873046875+0i,1.45200557927474-0.991323374966435i
212.640380859375+0i,1.44294740748082-0.946880511862448i
215.33203125+0i,1.51513961206506-0.879487889858266i
218.023681640625+0i,1.58218354842971-0.826625631508048i
220.71533203125+0i,1.62421644016129-0.764970739170241i
223.406982421875+0i,1.6883561609775-0.675659140886965i
226.0986328125+0i,1.70593625157293-0.605254849009177i
228.790283203125+0i,1.71352437199764-0.627217480314572i
231.48193359375+0i,1.74675998555841-0.574159082605592i
234.173583984375+0i,1.76909749270915-0.492219301945065i
236.865234375+0i,1.76630312535117-0.421313716744745i
239.556884765625+0i,1.78223801055301-0.330979043516472i
242.24853515625+0i,1.80125886210903-0.293068987024402i
244.940185546875+0i,1.79229622312094-0.284651902580483i
247.6318359375+0i,1.80311528897825-0.229812326666121i
250.323486328125+0i,1.74689003682675-0.175701378768712i
253.01513671875+0i,1.74624932161197-0.145457227916182i
255.706787109375+0i,1.84145956700153-0.11582059600212i
258.3984375+0i,1.88888455396648-0.0839855553686868i
261.090087890625+0i,1.87251898753875+0.00658055227135891i
263.78173828125+0i,1.81825089739468+0.103457935262243i
266.473388671875+0i,1.84121623108154+0.139688418270164i
269.1650390625+0i,1.8768442579732+0.193913570811729i
271.856689453125+0i,1.90496252417316+0.312387664971436i
