2.691650390625+0i,0.115125047412121+0i
5.38330078125+0i,3.48488610345766+0i
8.074951171875+0i,1.9051570345749+0i
10.7666015625+0i,1.18281742608146+0i
13.458251953125+0i,0.782171879093445+0i
16.14990234375+0i,0.665301132571365+0i
18.841552734375+0i,0.770279345583018+0i
21.533203125+0i,0.971833819434346+0i
24.224853515625+0i,1.1108348686672+0i
26.91650390625+0i,1.22599478988616+0i
29.608154296875+0i,1.42730226513137+0i
32.2998046875+0i,1.44605832447881+0i
34.991455078125+0i,1.27638605802791+0i
37.68310546875+0i,1.09289228475059+0i
40.374755859375+0i,0.971600817815448+0i
43.06640625+0i,0.799118290108358+0i
45.758056640625+0i,0.381908042527077+0i
48.44970703125+0i,0.268255953337991+0i
51.141357421875+0i,0.708240864293184+0i
53.8330078125+0i,0.820143480622956+0i
56.524658203125+0i,0.783108449923756+0i
59.21630859375+0i,0.780335243698307+0i
61.907958984375+0i,0.648119056170413+0i
64.599609375+0i,0.723700420081435+0i
67.291259765625+0i,0.720528723197425+0i
69.98291015625+0i,0.664613754793035+0i
72.674560546875+0i,0.64102186126675+0i
75.3662109375+0i,0.632698103659612+0i
78.057861328125+0i,0.653210460702871+0i
80.74951171875+0i,0.663092353924559+0i
83.441162109375+0i,0.699319517863781+0i
86.1328125+0i,0.734141647762407+0i
88.824462890625+0i,0.719790917294905+0i
91.51611328125+0i,0.826437164609407+0i
94.207763671875+0i,0.886100632448011+0i
96.8994140625+0i,0.93458543573556+0i
99.591064453125+0i,0.905058688024918+0i
102.28271484375+0i,0.939948999235116+0i
104.974365234375+0i,1.01033713563823+0i
107.666015625+0i,0.996744718183384+0i
110.357666015625+0i,1.02910739237253+0i
113.04931640625+0i,1.05261951728782+0i
115.740966796875+0i,1.05301077732412+0i
118.4326171875+0i,1.10334545131383+0i
121.124267578125+0i,1.12136486091069+0i
123.81591796875+0i,1.12565077645078+0i
126.507568359375+0i,1.13529697555431+0i
129.19921875+0i,1.11431155546027+0i
131.890869140625+0i,1.13979499135767+0i
134.58251953125+0i,1.13080052630774+0i
137.274169921875+0i,1.1263971238113+0i
139.9658203125+0i,1.22707871722496+0i
142.657470703125+0i,1.28786360070088+0i
145.34912109375+0i,1.29445377344729+0i
148.040771484375+0i,1.32586133171189+0i
150.732421875+0i,1.34644026258168+0i
153.424072265625+0i,1.45737169732375+0i
156.11572265625+0i,1.46060836608942+0i
158.807373046875+0i,1.47069662554756+0i
161.4990234375+0i,1.49239212951637+0i
