2.691650390625+0i,0.958222749087996+0.00155019143312336i
5.38330078125+0i,-0.606012435013683+0.0283526183542325i
8.074951171875+0i,-0.31133431414644-0.267576448054885i
10.7666015625+0i,-0.786058344043468+0.341516413290465i
13.458251953125+0i,-0.343546444823218+0.418694635310688i
16.14990234375+0i,-0.485940101002691+0.793965625501352i
18.841552734375+0i,0.47993365384965+0.915222977177962i
21.533203125+0i,0.847341495130664+0.797825212260737i
24.224853515625+0i,1.08099145704961+0.213072307042476i
26.91650390625+0i,1.80682103591214-0.25484859175095i
29.608154296875+0i,3.41121708154931-0.990890647767439i
32.2998046875+0i,1.48525619853017-0.438285470005905i
34.991455078125+0i,1.26524255315459-1.02508454633563i
37.68310546875+0i,-0.223531064016048-1.11577671403185i
40.374755859375+0i,0.532480939293542+0.418795561026852i
43.06640625+0i,1.0211806993147+0.486219148899728i
45.758056640625+0i,1.1969764162848+0.251662698842407i
48.44970703125+0i,1.16892354377613+0.222206690571021i
51.141357421875+0i,1.6264419074742+0.542808693328252i
53.8330078125+0i,1.68176389210254+0.518936264318921i
56.524658203125+0i,1.50687004255611+0.545496416250134i
59.21630859375+0i,1.46772980258313+0.471483105228817i
61.907958984375+0i,1.34909703536098+0.414161495392697i
64.599609375+0i,1.28834949802352+0.435449210871118i
67.291259765625+0i,1.17796869560385+0.504591414375154i
69.98291015625+0i,1.14503140772101+0.530487075012708i
72.674560546875+0i,1.07045281710145+0.639191072894909i
75.3662109375+0i,1.05405890833815+0.727146667905883i
78.057861328125+0i,1.03775853492859+0.742491147445559i
80.74951171875+0i,1.00323325803768+0.764376024086362i
83.441162109375+0i,1.03482071528312+0.802796185281654i
86.1328125+0i,1.02172284860946+0.938861931574294i
88.824462890625+0i,1.00775937797238+1.03003989408402i
91.51611328125+0i,1.1074047648027+1.14102737023405i
94.207763671875+0i,1.03270923145408+1.22784670283092i
96.8994140625+0i,0.979573541742036+1.30392635390385i
99.591064453125+0i,0.913937426713623+1.35111526162537i
102.28271484375+0i,0.870608926743958+1.34640258758072i
104.974365234375+0i,0.814994806511305+1.38004086891174i
107.666015625+0i,0.724607912763897+1.3938289708088i
110.357666015625+0i,0.646638201753282+1.45730500964316i
