2.691650390625+0i,0.0710926558274699+0i
5.38330078125+0i,1.07664227418691+0i
8.074951171875+0i,2.4019292233902+0i
10.7666015625+0i,1.85492313043908+0i
13.458251953125+0i,1.21147064153461+0i
16.14990234375+0i,3.48848340006289+0i
18.841552734375+0i,2.26145848746878+0i
21.533203125+0i,1.95652045344773+0i
24.224853515625+0i,1.89894713673105+0i
26.91650390625+0i,3.21127638971022+0i
29.608154296875+0i,8.03761320993682+0i
32.2998046875+0i,4.74360157250744+0i
34.991455078125+0i,5.0204212019501+0i
37.68310546875+0i,7.38815317077054+0i
40.374755859375+0i,2.90519935012082+0i
43.06640625+0i,2.59310491486044+0i
45.758056640625+0i,1.07396375267485+0i
48.44970703125+0i,0.686697652034996+0i
51.141357421875+0i,1.62448317922002+0i
53.8330078125+0i,1.45809548877177+0i
56.524658203125+0i,1.25421800067157+0i
59.21630859375+0i,1.24479199675376+0i
61.907958984375+0i,1.15557821115138+0i
64.599609375+0i,1.17658353115342+0i
67.291259765625+0i,1.06343833024018+0i
69.98291015625+0i,1.04740836824249+0i
72.674560546875+0i,0.971237988335793+0i
75.3662109375+0i,0.89556482987729+0i
78.057861328125+0i,0.891255782375611+0i
80.74951171875+0i,0.889356829852441+0i
83.441162109375+0i,0.950918070911451+0i
86.1328125+0i,0.968519106403301+0i
88.824462890625+0i,0.925965721393868+0i
91.51611328125+0i,1.10125863265529+0i
94.207763671875+0i,1.1909870741425+0i
96.8994140625+0i,1.26008542639098+0i
99.591064453125+0i,1.25871089464679+0i
102.28271484375+0i,1.32384139259941+0i
104.974365234375+0i,1.42015142101644+0i
107.666015625+0i,1.41288405149203+0i
110.357666015625+0i,1.46306442781928+0i
113.04931640625+0i,1.44657479902434+0i
115.740966796875+0i,1.43695361774417+0i
118.4326171875+0i,1.53858431907838+0i
121.124267578125+0i,1.56043956769086+0i
123.81591796875+0i,1.58543859889012+0i
126.507568359375+0i,1.5994694602706+0i
129.19921875+0i,1.58850566867532+0i
131.890869140625+0i,1.58161328806358+0i
134.58251953125+0i,1.57136419754398+0i
137.274169921875+0i,1.54056976108689+0i
139.9658203125+0i,1.77235448769634+0i
142.657470703125+0i,1.82433385968742+0i
145.34912109375+0i,1.82317130498069+0i
148.040771484375+0i,1.8860740487034+0i
150.732421875+0i,1.9601255298131+0i
153.424072265625+0i,2.08324748611496+0i
156.11572265625+0i,2.05918531338526+0i
158.807373046875+0i,1.99789397409157+0i
161.4990234375+0i,1.99717702896376+0i
164.190673828125+0i,2.0871673781178+0i
166.88232421875+0i,1.99350892487237+0i
169.573974609375+0i,2.04873548166794+0i
172.265625+0i,2.02458842646989+0i
174.957275390625+0i,2.07400290083257+0i
177.64892578125+0i,2.14245778999184+0i
180.340576171875+0i,2.21493412312992+0i
183.0322265625+0i,2.2611928134447+0i
185.723876953125+0i,2.24756434143253+0i
188.41552734375+0i,2.36663593322263+0i
191.107177734375+0i,2.39400110890108+0i
193.798828125+0i,2.43552674744467+0i
196.490478515625+0i,2.425769204097+0i
199.18212890625+0i,2.51240586793773+0i
201.873779296875+0i,2.45489475590006+0i
204.5654296875+0i,2.42564699964457+0i
207.257080078125+0i,2.57360485031245+0i
209.94873046875+0i,2.72202987854192+0i
212.640380859375+0i,2.56749646852808+0i
215.33203125+0i,2.47043082908157+0i
218.023681640625+0i,2.37803751683761+0i
220.71533203125+0i,2.43100479948806+0i
223.406982421875+0i,2.49959167343279+0i
226.0986328125+0i,2.55960195873386+0i
228.790283203125+0i,2.42075376095524+0i
231.48193359375+0i,2.34937863727917+0i
234.173583984375+0i,2.36246992287819+0i
236.865234375+0i,2.54840091034166+0i
239.556884765625+0i,2.69448597066544+0i
242.24853515625+0i,2.63868503394049+0i
244.940185546875+0i,2.60661437134369+0i
247.6318359375+0i,2.557855539133+0i
250.323486328125+0i,2.53429401992252+0i
253.01513671875+0i,2.47131615961985+0i
255.706787109375+0i,2.50166053048188+0i
258.3984375+0i,2.54289704442792+0i
261.090087890625+0i,2.55981518454388+0i
263.78173828125+0i,2.57074619844777+0i
266.473388671875+0i,2.62030488557999+0i
269.1650390625+0i,2.73366284436758+0i
271.856689453125+0i,2.7546928803222+0i
274.54833984375+0i,2.74016013751528+0i
277.239990234375+0i,2.83123395036336+0i
279.931640625+0i,2.86222791950119+0i
282.623291015625+0i,2.86792769458204+0i
285.31494140625+0i,2.80643192328872+0i
288.006591796875+0i,2.72827777991809+0i
290.6982421875+0i,2.71758718756111+0i
293.389892578125+0i,2.7615615753586+0i
296.08154296875+0i,2.78279279674044+0i
298.773193359375+0i,2.82697372645446+0i
301.46484375+0i,2.71075856727017+0i
304.156494140625+0i,2.57995875585458+0i
306.84814453125+0i,2.60569367475739+0i
309.539794921875+0i,2.74864733608434+0i
312.2314453125+0i,2.88657774071665+0i
314.923095703125+0i,3.0005174396661+0i
317.61474609375+0i,3.07078731739997+0i
320.306396484375+0i,2.97578354600864+0i
322.998046875+0i,2.99107543425464+0i
325.689697265625+0i,2.76973554083914+0i
328.38134765625+0i,2.52955916144369+0i
331.072998046875+0i,2.48185348639722+0i
333.7646484375+0i,2.42084292821969+0i
336.456298828125+0i,2.24912205548708+0i
339.14794921875+0i,2.2865613126375+0i
341.839599609375+0i,2.18345511575207+0i
344.53125+0i,2.23731622109345+0i
347.222900390625+0i,2.18630368670757+0i
349.91455078125+0i,2.16864997413952+0i
352.606201171875+0i,2.13849857754059+0i
355.2978515625+0i,2.3163084574698+0i
357.989501953125+0i,2.36790807730148+0i
360.68115234375+0i,2.40220477660708+0i
363.372802734375+0i,2.33574153402126+0i
366.064453125+0i,2.26682914285405+0i
368.756103515625+0i,2.36201050997+0i
371.44775390625+0i,2.33763919390275+0i
374.139404296875+0i,2.28113866476874+0i
376.8310546875+0i,2.20448269186983+0i
379.522705078125+0i,2.22081797653507+0i
382.21435546875+0i,2.23763672589873+0i
384.906005859375+0i,2.21797170768715+0i
387.59765625+0i,2.18069833563688+0i
390.289306640625+0i,2.17186136596191+0i
392.98095703125+0i,2.20792033312883+0i
395.672607421875+0i,2.17508956914945+0i
398.3642578125+0i,2.13556705960814+0i
401.055908203125+0i,2.20207180863746+0i
403.74755859375+0i,2.28208473280135+0i
406.439208984375+0i,2.22876150564172+0i
409.130859375+0i,2.27167445383323+0i
411.822509765625+0i,2.31055028888189+0i
414.51416015625+0i,2.31034468965146+0i
417.205810546875+0i,2.28582227539081+0i
419.8974609375+0i,2.22044290518615+0i
422.589111328125+0i,2.15734372796617+0i
425.28076171875+0i,2.12926514672553+0i
427.972412109375+0i,2.10304558792705+0i
430.6640625+0i,2.08339537751879+0i
433.355712890625+0i,2.10877724436187+0i
436.04736328125+0i,2.13205211658165+0i
438.739013671875+0i,2.1067947648989+0i
441.4306640625+0i,2.08083376676174+0i
444.122314453125+0i,2.00303539234897+0i
446.81396484375+0i,1.96581724719726+0i
449.505615234375+0i,1.91152214747699+0i
452.197265625+0i,1.88952191043943+0i
454.888916015625+0i,1.83556974508728+0i
457.58056640625+0i,1.78653915702603+0i
460.272216796875+0i,1.73616906370077+0i
462.9638671875+0i,1.73012130674165+0i
465.655517578125+0i,1.69771633280066+0i
468.34716796875+0i,1.69351474165836+0i
471.038818359375+0i,1.66237756214799+0i
473.73046875+0i,1.62287188891582+0i
476.422119140625+0i,1.58986271587374+0i
479.11376953125+0i,1.59438162989067+0i
481.805419921875+0i,1.59707717487459+0i
484.4970703125+0i,1.60177051492707+0i
487.188720703125+0i,1.58046403726702+0i
489.88037109375+0i,1.5094170710816+0i
492.572021484375+0i,1.52337679454039+0i
495.263671875+0i,1.53080549685108+0i
497.955322265625+0i,1.50541186039843+0i
500.64697265625+0i,1.53868040581204+0i
503.338623046875+0i,1.52310109182285+0i
