2.691650390625+0i,292.086443198501+0i
5.38330078125+0i,651.680170976163+0i
8.074951171875+0i,234.657854183971+0i
10.7666015625+0i,115.690107227708+0i
13.458251953125+0i,67.1930741035911+0i
16.14990234375+0i,58.5885256498309+0i
18.841552734375+0i,57.7109800933667+0i
21.533203125+0i,64.2973427860665+0i
24.224853515625+0i,62.9109580321996+0i
26.91650390625+0i,68.5550010024187+0i
29.608154296875+0i,70.7563518912945+0i
32.2998046875+0i,65.0943468292159+0i
34.991455078125+0i,55.8470279831802+0i
37.68310546875+0i,47.6219867093497+0i
40.374755859375+0i,44.5071766783935+0i
43.06640625+0i,43.4726290465044+0i
45.758056640625+0i,19.8668086784214+0i
48.44970703125+0i,13.7461113592545+0i
51.141357421875+0i,38.7913852290988+0i
53.8330078125+0i,42.2778716836322+0i
56.524658203125+0i,35.9422421979715+0i
59.21630859375+0i,32.4995243563819+0i
61.907958984375+0i,27.8203624145339+0i
64.599609375+0i,25.7290215830346+0i
67.291259765625+0i,23.7021912617286+0i
69.98291015625+0i,21.125038012999+0i
72.674560546875+0i,18.3973607530691+0i
75.3662109375+0i,16.0269127305507+0i
78.057861328125+0i,15.1282449306387+0i
80.74951171875+0i,13.8305474275976+0i
83.441162109375+0i,13.6309597249258+0i
86.1328125+0i,13.2050601187493+0i
88.824462890625+0i,12.7718291778556+0i
91.51611328125+0i,13.3678137855184+0i
94.207763671875+0i,14.0102728976651+0i
96.8994140625+0i,14.3314599588186+0i
99.591064453125+0i,14.2571640317166+0i
102.28271484375+0i,15.0104717923557+0i
104.974365234375+0i,16.0433242980877+0i
107.666015625+0i,15.970221615323+0i
110.357666015625+0i,16.0023144007518+0i
113.04931640625+0i,16.608289577269+0i
115.740966796875+0i,17.0578779231223+0i
118.4326171875+0i,18.1540102943413+0i
121.124267578125+0i,18.535620423566+0i
123.81591796875+0i,18.4447399072408+0i
126.507568359375+0i,17.9116321938288+0i
129.19921875+0i,16.9136174335937+0i
131.890869140625+0i,17.1524398952244+0i
134.58251953125+0i,16.9119510968192+0i
137.274169921875+0i,17.2041872158285+0i
139.9658203125+0i,19.947968628496+0i
142.657470703125+0i,20.637956303955+0i
145.34912109375+0i,20.9665026856281+0i
148.040771484375+0i,21.400905774059+0i
150.732421875+0i,22.0240597400234+0i
153.424072265625+0i,23.550421372496+0i
156.11572265625+0i,23.4762423125367+0i
158.807373046875+0i,24.9511265229016+0i
161.4990234375+0i,25.6358667847674+0i
164.190673828125+0i,24.1206366689368+0i
166.88232421875+0i,23.6400836195026+0i
169.573974609375+0i,25.6267152529073+0i
172.265625+0i,25.0948926589468+0i
174.957275390625+0i,26.4889653850269+0i
177.64892578125+0i,23.954903436434+0i
180.340576171875+0i,23.7018840143617+0i
183.0322265625+0i,23.6914605777784+0i
185.723876953125+0i,23.1528014045504+0i
188.41552734375+0i,22.5321438601203+0i
191.107177734375+0i,23.2728255832037+0i
193.798828125+0i,23.2260134821065+0i
196.490478515625+0i,22.0549211505026+0i
199.18212890625+0i,21.2022434769734+0i
201.873779296875+0i,21.5997477235226+0i
204.5654296875+0i,23.0633568961079+0i
207.257080078125+0i,24.474137450907+0i
209.94873046875+0i,24.9943508869512+0i
212.640380859375+0i,24.3309721768932+0i
215.33203125+0i,24.1876290726813+0i
218.023681640625+0i,23.5558227322056+0i
220.71533203125+0i,24.0036122901714+0i
223.406982421875+0i,24.8827932831496+0i
226.0986328125+0i,24.9539980394994+0i
228.790283203125+0i,24.123366557515+0i
231.48193359375+0i,23.8854807490303+0i
234.173583984375+0i,23.724383848182+0i
236.865234375+0i,24.9549537764536+0i
239.556884765625+0i,25.8717997672579+0i
242.24853515625+0i,25.3485426363567+0i
244.940185546875+0i,24.5509639129214+0i
247.6318359375+0i,24.404901056219+0i
250.323486328125+0i,23.7888177568711+0i
253.01513671875+0i,23.2820536707702+0i
255.706787109375+0i,25.4962563034348+0i
258.3984375+0i,26.3700579233962+0i
261.090087890625+0i,25.6962100043066+0i
263.78173828125+0i,25.0640486815941+0i
266.473388671875+0i,25.8951477897234+0i
269.1650390625+0i,27.446187634417+0i
271.856689453125+0i,28.6594153413491+0i
274.54833984375+0i,29.6917208021281+0i
277.239990234375+0i,32.5238784193455+0i
279.931640625+0i,32.6923215982083+0i
282.623291015625+0i,33.1160092659687+0i
285.31494140625+0i,32.077873338928+0i
