2.691650390625+0i,34.7051217495802+0i
5.38330078125+0i,491.94999286081+0i
8.074951171875+0i,131.886539264288+0i
10.7666015625+0i,64.1022979379731+0i
13.458251953125+0i,41.0218194853148+0i
16.14990234375+0i,39.0058243634168+0i
18.841552734375+0i,40.0567779563728+0i
21.533203125+0i,48.7677348374471+0i
24.224853515625+0i,45.2043138149366+0i
26.91650390625+0i,49.7160287100319+0i
29.608154296875+0i,60.0179482148743+0i
32.2998046875+0i,56.2760695033617+0i
34.991455078125+0i,47.113935746215+0i
37.68310546875+0i,39.696557126513+0i
40.374755859375+0i,34.7808831864647+0i
43.06640625+0i,36.8003357594697+0i
45.758056640625+0i,14.3839272460783+0i
48.44970703125+0i,11.0825520665543+0i
51.141357421875+0i,47.24072877955+0i
53.8330078125+0i,51.8479739762004+0i
56.524658203125+0i,40.8116089106609+0i
59.21630859375+0i,37.4147164469977+0i
61.907958984375+0i,27.9203536968782+0i
64.599609375+0i,26.9571902820399+0i
67.291259765625+0i,25.8181218712643+0i
69.98291015625+0i,21.4542719329755+0i
72.674560546875+0i,16.2627176177264+0i
75.3662109375+0i,12.8768607682815+0i
78.057861328125+0i,12.8707875233146+0i
80.74951171875+0i,11.5613724105566+0i
83.441162109375+0i,12.9147702692224+0i
86.1328125+0i,12.4725982027183+0i
88.824462890625+0i,13.5039667823702+0i
91.51611328125+0i,13.8532517469755+0i
94.207763671875+0i,14.5490499620221+0i
96.8994140625+0i,13.515318311676+0i
99.591064453125+0i,14.4381942869267+0i
102.28271484375+0i,16.9523433339503+0i
104.974365234375+0i,18.0372902922003+0i
107.666015625+0i,15.9741044338861+0i
110.357666015625+0i,15.7767510741277+0i
113.04931640625+0i,17.7999611480571+0i
115.740966796875+0i,19.0876560073386+0i
118.4326171875+0i,21.5200234215319+0i
121.124267578125+0i,19.2880261554585+0i
123.81591796875+0i,18.7935159224586+0i
126.507568359375+0i,18.4289832923175+0i
129.19921875+0i,18.0436426779417+0i
131.890869140625+0i,18.4162733001988+0i
134.58251953125+0i,18.1550205010649+0i
137.274169921875+0i,18.2571553104672+0i
139.9658203125+0i,24.3464312345916+0i
142.657470703125+0i,26.6128306231258+0i
145.34912109375+0i,26.9732830839536+0i
148.040771484375+0i,28.1028700584172+0i
150.732421875+0i,28.9055296453518+0i
153.424072265625+0i,32.4585211276612+0i
156.11572265625+0i,31.5271757581027+0i
158.807373046875+0i,35.6930661262652+0i
161.4990234375+0i,36.1221123232468+0i
164.190673828125+0i,31.6240849563451+0i
166.88232421875+0i,32.4787960402425+0i
169.573974609375+0i,39.9834388851265+0i
172.265625+0i,37.3688715668941+0i
174.957275390625+0i,43.3567347065838+0i
177.64892578125+0i,35.0089254173474+0i
180.340576171875+0i,33.6697282487919+0i
183.0322265625+0i,31.2856293538796+0i
185.723876953125+0i,26.4280004794881+0i
188.41552734375+0i,26.7592353128632+0i
191.107177734375+0i,28.8991342495672+0i
193.798828125+0i,27.6667212011641+0i
196.490478515625+0i,24.6314016975256+0i
199.18212890625+0i,23.5202465039533+0i
201.873779296875+0i,24.0396911531159+0i
204.5654296875+0i,24.8982154629763+0i
207.257080078125+0i,27.611185287197+0i
209.94873046875+0i,28.4111311068185+0i
212.640380859375+0i,27.5276517746678+0i
215.33203125+0i,25.1847179899557+0i
218.023681640625+0i,22.184303065308+0i
220.71533203125+0i,22.6381032849212+0i
223.406982421875+0i,23.5072764637553+0i
226.0986328125+0i,23.1949926944175+0i
228.790283203125+0i,21.0299782756656+0i
231.48193359375+0i,20.2456490001608+0i
234.173583984375+0i,20.236941322141+0i
236.865234375+0i,22.7612566859641+0i
239.556884765625+0i,25.2385628904182+0i
242.24853515625+0i,24.0956268374574+0i
244.940185546875+0i,23.0455115353485+0i
247.6318359375+0i,22.6801971677181+0i
250.323486328125+0i,21.8300510434572+0i
253.01513671875+0i,21.2080255424271+0i
255.706787109375+0i,24.6895516594261+0i
258.3984375+0i,24.522060769138+0i
261.090087890625+0i,22.8789202864794+0i
263.78173828125+0i,22.0561038419008+0i
266.473388671875+0i,23.2221710825282+0i
269.1650390625+0i,25.3363233418495+0i
271.856689453125+0i,27.1606851978133+0i
274.54833984375+0i,27.3884144500155+0i
277.239990234375+0i,30.7676576075304+0i
279.931640625+0i,30.7065703966434+0i
282.623291015625+0i,30.7421931478566+0i
285.31494140625+0i,29.8471122676497+0i
288.006591796875+0i,28.0854776023875+0i
290.6982421875+0i,29.6682767065298+0i
293.389892578125+0i,28.0144212224389+0i
296.08154296875+0i,25.0479074405621+0i
298.773193359375+0i,23.8954534139163+0i
301.46484375+0i,22.9701276411713+0i
304.156494140625+0i,22.273947642377+0i
306.84814453125+0i,25.1322493933923+0i
309.539794921875+0i,30.8507313495215+0i
312.2314453125+0i,34.2186956649329+0i
314.923095703125+0i,36.8536294465919+0i
317.61474609375+0i,42.0065602679244+0i
320.306396484375+0i,44.4040099811816+0i
322.998046875+0i,47.7561995267818+0i
325.689697265625+0i,47.7068922556619+0i
328.38134765625+0i,43.4889505912059+0i
331.072998046875+0i,41.5343745183751+0i
333.7646484375+0i,42.757992986904+0i
336.456298828125+0i,39.5316446762447+0i
339.14794921875+0i,43.929635529858+0i
341.839599609375+0i,45.6951819307274+0i
344.53125+0i,49.0095271704205+0i
347.222900390625+0i,50.228833632044+0i
349.91455078125+0i,49.7665574172268+0i
352.606201171875+0i,50.2402477910835+0i
355.2978515625+0i,41.6392484080483+0i
357.989501953125+0i,29.5620315900168+0i
360.68115234375+0i,23.2662040295536+0i
363.372802734375+0i,21.5261074094647+0i
366.064453125+0i,24.6126820450138+0i
368.756103515625+0i,24.4394882477361+0i
371.44775390625+0i,23.1976722509162+0i
374.139404296875+0i,21.2105385152052+0i
376.8310546875+0i,14.0282109475736+0i
379.522705078125+0i,11.840067805813+0i
382.21435546875+0i,11.4466797248242+0i
384.906005859375+0i,11.7500907790042+0i
387.59765625+0i,12.2285570766711+0i
390.289306640625+0i,12.592429618408+0i
392.98095703125+0i,12.4581779336819+0i
395.672607421875+0i,12.6034462350498+0i
398.3642578125+0i,12.0187132567229+0i
401.055908203125+0i,12.0502324689941+0i
403.74755859375+0i,12.3607563827184+0i
406.439208984375+0i,11.5792769837869+0i
409.130859375+0i,11.8324245051824+0i
411.822509765625+0i,12.2505508013643+0i
414.51416015625+0i,11.3595305451616+0i
417.205810546875+0i,10.459297980048+0i
419.8974609375+0i,9.90616890083312+0i
422.589111328125+0i,9.45396609570186+0i
425.28076171875+0i,9.60781509004622+0i
427.972412109375+0i,9.72444205805579+0i
430.6640625+0i,9.0548989808691+0i
433.355712890625+0i,8.74362713880172+0i
436.04736328125+0i,8.93095766510458+0i
438.739013671875+0i,8.74547713284241+0i
441.4306640625+0i,8.96872076727049+0i
444.122314453125+0i,8.95728821203923+0i
446.81396484375+0i,8.10691281548748+0i
449.505615234375+0i,7.90919238139561+0i
452.197265625+0i,7.92944065708483+0i
454.888916015625+0i,7.30393629013201+0i
457.58056640625+0i,6.63614051045631+0i
460.272216796875+0i,6.30704236137943+0i
462.9638671875+0i,5.9418565774884+0i
465.655517578125+0i,5.50012446675095+0i
468.34716796875+0i,5.97362297816926+0i
471.038818359375+0i,5.97784530499442+0i
473.73046875+0i,5.58636287515579+0i
476.422119140625+0i,5.15509598223885+0i
479.11376953125+0i,4.93184923269284+0i
481.805419921875+0i,5.21202192046695+0i
484.4970703125+0i,5.10779472466838+0i
487.188720703125+0i,5.48337211961572+0i
489.88037109375+0i,5.37488185015189+0i
492.572021484375+0i,5.20841318819263+0i
495.263671875+0i,5.65651857844077+0i
497.955322265625+0i,6.03129632961726+0i
500.64697265625+0i,6.46447591653494+0i
503.338623046875+0i,6.42908798150187+0i
506.0302734375+0i,6.02639352279393+0i
508.721923828125+0i,5.54452674032003+0i
511.41357421875+0i,5.6953862161879+0i
514.105224609375+0i,5.60968415187066+0i
516.796875+0i,5.90043103180043+0i
519.488525390625+0i,5.82026392554601+0i
522.18017578125+0i,5.85864989713263+0i
524.871826171875+0i,5.29429026426773+0i
527.5634765625+0i,5.11608311260841+0i
530.255126953125+0i,4.38641601555079+0i
532.94677734375+0i,3.67577307920752+0i
535.638427734375+0i,3.55054227683163+0i
538.330078125+0i,2.8605778440773+0i
541.021728515625+0i,2.46035007227007+0i
543.71337890625+0i,2.43295560836063+0i
546.405029296875+0i,2.30637213628948+0i
549.0966796875+0i,2.24584776970041+0i
551.788330078125+0i,2.28364162951655+0i
554.47998046875+0i,2.20754355590179+0i
557.171630859375+0i,2.03672702374685+0i
559.86328125+0i,2.19588175668943+0i
562.554931640625+0i,2.19400428988199+0i
565.24658203125+0i,2.25410051122697+0i
567.938232421875+0i,2.33787037618558+0i
570.6298828125+0i,2.38863612530032+0i
573.321533203125+0i,2.21600950897111+0i
576.01318359375+0i,2.05673189461756+0i
578.704833984375+0i,2.14697687684498+0i
581.396484375+0i,2.16935263667473+0i
584.088134765625+0i,2.33441285571042+0i
586.77978515625+0i,2.35546449058441+0i
589.471435546875+0i,2.22837068577967+0i
592.1630859375+0i,2.09885742570352+0i
594.854736328125+0i,1.93189859373041+0i
597.54638671875+0i,1.79869782468283+0i
600.238037109375+0i,1.69856265134525+0i
