2.691650390625+0i,1.11114816606578+0i
5.38330078125+0i,6.87835507238939+0i
8.074951171875+0i,6.72544147761147+0i
10.7666015625+0i,7.28791813057242+0i
13.458251953125+0i,7.91173397194014+0i
16.14990234375+0i,9.51067926667235+0i
18.841552734375+0i,8.26099190139765+0i
21.533203125+0i,6.86171672822811+0i
24.224853515625+0i,6.91848572987606+0i
26.91650390625+0i,10.6129261056383+0i
29.608154296875+0i,13.5927739526621+0i
32.2998046875+0i,13.766821889286+0i
34.991455078125+0i,13.7604586437442+0i
37.68310546875+0i,12.1887235053271+0i
40.374755859375+0i,11.9016092847409+0i
43.06640625+0i,12.1802539862457+0i
45.758056640625+0i,8.70428180783572+0i
48.44970703125+0i,7.06577912990137+0i
51.141357421875+0i,12.6164988032853+0i
53.8330078125+0i,12.2974531235458+0i
56.524658203125+0i,11.2914919079971+0i
59.21630859375+0i,10.586684370704+0i
61.907958984375+0i,10.1349906707252+0i
64.599609375+0i,10.2008724949456+0i
67.291259765625+0i,9.64443517081898+0i
69.98291015625+0i,9.05886670575948+0i
72.674560546875+0i,8.4969219770666+0i
75.3662109375+0i,7.44509400123489+0i
78.057861328125+0i,7.05026470751551+0i
80.74951171875+0i,6.4857988176811+0i
83.441162109375+0i,6.73816119334902+0i
86.1328125+0i,6.81451428950894+0i
88.824462890625+0i,6.54278962245201+0i
91.51611328125+0i,7.29102068682184+0i
94.207763671875+0i,7.70843292275564+0i
96.8994140625+0i,7.87607382863746+0i
99.591064453125+0i,8.10501531474733+0i
102.28271484375+0i,8.27791505058873+0i
104.974365234375+0i,8.44387783561657+0i
107.666015625+0i,8.40433977105637+0i
110.357666015625+0i,8.51768248955401+0i
113.04931640625+0i,8.55364847560888+0i
115.740966796875+0i,8.45074901421932+0i
118.4326171875+0i,8.99585777245141+0i
121.124267578125+0i,9.48009224364844+0i
123.81591796875+0i,9.27891300419222+0i
126.507568359375+0i,8.7372793110447+0i
129.19921875+0i,8.5139159796796+0i
131.890869140625+0i,8.35688949228288+0i
134.58251953125+0i,8.31281856515504+0i
137.274169921875+0i,8.64581281167062+0i
139.9658203125+0i,9.89278179589106+0i
142.657470703125+0i,10.0536122820493+0i
145.34912109375+0i,10.8196097629078+0i
148.040771484375+0i,11.6672539634599+0i
150.732421875+0i,12.0055558674432+0i
153.424072265625+0i,12.7553386955149+0i
156.11572265625+0i,12.4006734722801+0i
158.807373046875+0i,12.8860611016117+0i
161.4990234375+0i,13.8744348338795+0i
164.190673828125+0i,13.8659713241868+0i
166.88232421875+0i,13.0857383135994+0i
169.573974609375+0i,13.9762368304481+0i
172.265625+0i,14.0167421965156+0i
174.957275390625+0i,15.1393049851749+0i
177.64892578125+0i,13.8895227806726+0i
180.340576171875+0i,13.7106593957803+0i
183.0322265625+0i,14.0808459205394+0i
185.723876953125+0i,14.9289851973104+0i
188.41552734375+0i,15.6312458334921+0i
191.107177734375+0i,16.316529577546+0i
193.798828125+0i,16.1105437444941+0i
196.490478515625+0i,15.5757159022686+0i
199.18212890625+0i,15.1152905877056+0i
201.873779296875+0i,15.1821538785706+0i
204.5654296875+0i,15.8669551645073+0i
207.257080078125+0i,17.0273656426156+0i
209.94873046875+0i,17.3824775102164+0i
212.640380859375+0i,16.4313555319706+0i
215.33203125+0i,15.9363435174558+0i
218.023681640625+0i,15.0884597067986+0i
220.71533203125+0i,15.3377937669733+0i
223.406982421875+0i,15.9035454831878+0i
226.0986328125+0i,15.9739018149995+0i
228.790283203125+0i,15.12042758005+0i
231.48193359375+0i,14.724067739498+0i
234.173583984375+0i,14.7085326960441+0i
236.865234375+0i,15.9734119333689+0i
239.556884765625+0i,17.1081034519247+0i
242.24853515625+0i,16.7121985735267+0i
244.940185546875+0i,16.3347505966486+0i
247.6318359375+0i,16.1675050122414+0i
250.323486328125+0i,15.9059854736329+0i
253.01513671875+0i,15.6065140314829+0i
255.706787109375+0i,16.9760679754647+0i
258.3984375+0i,17.3259529761626+0i
261.090087890625+0i,16.9365408350824+0i
263.78173828125+0i,16.7706166379184+0i
266.473388671875+0i,17.4766504701552+0i
269.1650390625+0i,18.7125320904164+0i
271.856689453125+0i,19.4671054893975+0i
274.54833984375+0i,20.36593878971+0i
277.239990234375+0i,22.7693879684862+0i
279.931640625+0i,23.3949097391327+0i
282.623291015625+0i,23.7114192572493+0i
285.31494140625+0i,23.0976985634612+0i
288.006591796875+0i,21.5222316569138+0i
290.6982421875+0i,21.8919499889343+0i
293.389892578125+0i,21.4958910547046+0i
296.08154296875+0i,20.4493290825278+0i
298.773193359375+0i,21.0091582492362+0i
301.46484375+0i,20.5489285435829+0i
304.156494140625+0i,19.3486543382636+0i
306.84814453125+0i,20.2125078969588+0i
309.539794921875+0i,22.1995147125524+0i
312.2314453125+0i,22.9745524489087+0i
314.923095703125+0i,23.9353418431242+0i
317.61474609375+0i,25.910152490112+0i
320.306396484375+0i,26.5129907835368+0i
322.998046875+0i,28.6053625448815+0i
325.689697265625+0i,27.9229810846133+0i
328.38134765625+0i,25.1765491356017+0i
331.072998046875+0i,23.0354626810636+0i
333.7646484375+0i,23.0291649728733+0i
336.456298828125+0i,21.5435380672402+0i
339.14794921875+0i,23.3507444949712+0i
341.839599609375+0i,23.5584944926268+0i
344.53125+0i,23.4334280055812+0i
347.222900390625+0i,23.7520111050648+0i
349.91455078125+0i,23.7328781744369+0i
352.606201171875+0i,23.1691133669777+0i
355.2978515625+0i,21.8535559093735+0i
357.989501953125+0i,18.680495882832+0i
360.68115234375+0i,16.5992568495809+0i
363.372802734375+0i,15.5602505841198+0i
366.064453125+0i,15.8602481161372+0i
