2.691650390625+0i,0.220162918784708+0i
5.38330078125+0i,5.18298264827761+0i
8.074951171875+0i,4.48490229119583+0i
10.7666015625+0i,5.20054524860932+0i
13.458251953125+0i,7.63408839185636+0i
16.14990234375+0i,11.7529021684215+0i
18.841552734375+0i,11.045291903039+0i
21.533203125+0i,7.70358145593354+0i
24.224853515625+0i,6.65417109644619+0i
26.91650390625+0i,13.9087292988937+0i
29.608154296875+0i,18.2634441460201+0i
32.2998046875+0i,15.0155766698865+0i
34.991455078125+0i,12.6429896548123+0i
37.68310546875+0i,9.83453479522356+0i
40.374755859375+0i,10.0451245546055+0i
43.06640625+0i,10.9616506110132+0i
45.758056640625+0i,7.0363779516016+0i
48.44970703125+0i,6.30178535515257+0i
51.141357421875+0i,15.2790749880766+0i
53.8330078125+0i,13.6291890617887+0i
56.524658203125+0i,11.1386634060481+0i
59.21630859375+0i,10.0885491966709+0i
61.907958984375+0i,8.71962234815536+0i
64.599609375+0i,9.08109884584703+0i
67.291259765625+0i,9.71636054059388+0i
69.98291015625+0i,9.36702358088971+0i
72.674560546875+0i,7.97008901837242+0i
75.3662109375+0i,5.69257257203467+0i
78.057861328125+0i,5.54774060352124+0i
80.74951171875+0i,5.17781373657387+0i
83.441162109375+0i,6.50154695742287+0i
86.1328125+0i,6.60933775547346+0i
88.824462890625+0i,6.94424599781528+0i
91.51611328125+0i,7.8312152632131+0i
94.207763671875+0i,7.56591333619573+0i
96.8994140625+0i,7.14533316990872+0i
99.591064453125+0i,8.07955925171636+0i
102.28271484375+0i,9.25107814654158+0i
104.974365234375+0i,9.23669032247751+0i
107.666015625+0i,8.78948064473095+0i
110.357666015625+0i,8.67025915863368+0i
113.04931640625+0i,9.50453136886964+0i
115.740966796875+0i,9.31936130618632+0i
118.4326171875+0i,9.8648335586023+0i
121.124267578125+0i,10.0522217456811+0i
123.81591796875+0i,9.69273703612301+0i
126.507568359375+0i,8.76439001897339+0i
129.19921875+0i,9.2197791867033+0i
131.890869140625+0i,8.7408347833166+0i
134.58251953125+0i,8.28769989436083+0i
137.274169921875+0i,8.68894866382311+0i
139.9658203125+0i,11.1909084332313+0i
142.657470703125+0i,11.1581794402206+0i
145.34912109375+0i,12.88809413429+0i
148.040771484375+0i,15.1141519267813+0i
150.732421875+0i,14.8364108663257+0i
153.424072265625+0i,16.6981270125942+0i
156.11572265625+0i,14.7339067961365+0i
158.807373046875+0i,15.7104640478616+0i
161.4990234375+0i,17.8628734821852+0i
164.190673828125+0i,18.0742975089715+0i
166.88232421875+0i,16.9539500962284+0i
169.573974609375+0i,18.9598130414924+0i
172.265625+0i,18.8795262481752+0i
174.957275390625+0i,22.9667282075232+0i
177.64892578125+0i,19.5268608313758+0i
180.340576171875+0i,18.2250535892303+0i
183.0322265625+0i,17.9262197764109+0i
185.723876953125+0i,18.9835371799386+0i
188.41552734375+0i,23.2654519991904+0i
191.107177734375+0i,26.0041039508827+0i
193.798828125+0i,24.3947564488585+0i
196.490478515625+0i,22.2675804250178+0i
