52.504795229915935+0i,25.264713972500992+0i
55.6456291937031+0i,24.22387568314252+0i
57.92945281135927+0i,23.32929837087039+0i
62.22348111907138+0i,22.42900371184897+0i
68.65224780825264+0i,22.280031042358804+0i
75.91466564806612+0i,22.325259643273224+0i
80.27629255537401+0i,20.950226034194458+0i
85.45949560971567+0i,20.43032238799261+0i
92.2053526279352+0i,21.37994833415764+0i
99.92930588902809+0i,21.1759574616174+0i
106.38144595447731+0i,20.76667175492202+0i
115.29291685048372+0i,21.877601404551093+0i
122.46308059259776+0i,21.446522193306507+0i
125.51056781220862+0i,20.698627629602235+0i
130.66180795790177+0i,19.846336255743694+0i
138.4779901257771+0i,19.11178565465517+0i
145.4557788603471+0i,18.26729077684314+0i
148.6097978924059+0i,17.37222139784259+0i
154.15693555419097+0i,16.560902947606998+0i
160.4838880093177+0i,15.844471364835549+0i
166.32551481148823+0i,15.23088758624165+0i
177.0646619362907+0i,14.1627619601252+0i
195.3585178893013+0i,14.06430601126074+0i
215.5424470052444+0i,13.876702908350914+0i
237.8117266805538+0i,13.941683408569656+0i
258.8874118501655+0i,14.482506813746198+0i
279.3230281816009+0i,15.1731602774094+0i
308.1819500355364+0i,15.23814077762814+0i
340.0224999206205+0i,14.887101225635115+0i
361.97674823020407+0i,13.819569913878968+0i
388.80832229487856+0i,12.86697559115093+0i
400.1692994680108+0i,12.41646441864923+0i
424.21271815727226+0i,11.569940416464377+0i
436.7166289588615+0i,10.876097039702415+0i
446.1862600051138+0i,9.96795274477521+0i
465.508160376807+0i,9.01459521650921+0i
503.85953891936174+0i,8.472872960312827+0i
528.0672677492289+0i,7.154725247262299+0i
531.6191826438156+0i,8.070145100245469+0i
549.4947209252039+0i,5.782901787792767+0i
591.810900806389+0i,5.163788116441356+0i
638.5262680125785+0i,4.802950898139336+0i
662.7552608780927+0i,5.286609533972214+0i
699.4774813886424+0i,4.432705832624855+0i
766.9320601157489+0i,5.244872618681196+0i
820.107608564832+0i,5.482869958074385+0i
821.3302486994864+0i,4.714757700298339+0i
884.8438748797876+0i,4.0449531859367625+0i
928.9689935398962+0i,3.446813692843058+0i
1012.5536265019232+0i,2.9578549255689808+0i
1097.374265028298+0i,3.5804169693108463+0i
1156.9709148251231+0i,4.030769326625062+0i
1209.8505884712515+0i,3.2016837527310784+0i
1270.8139357806672+0i,2.5415996683012523+0i
1311.1986027884425+0i,1.9355257652530329+0i
1365.013185890054+0i,0.8807807328793729+0i
1438.9305033755716+0i,0.2497030615570636+0i
1574.8768626032793+0i,-0.772715780988591+0i
1676.5620090470634+0i,-1.3136845695167096+0i
1745.3719401810642+0i,-2.274570383988298+0i
1811.2148907716387+0i,-3.412985170853688+0i
1879.5417211832823+0i,-4.387963508635885+0i
1908.5633820071616+0i,-5.027921394394696+0i
1969.214823162663+0i,-5.847552257578272+0i
2029.2009359629556+0i,-6.907546001721769+0i
2079.564718639863+0i,-8.008931930425192+0i
2128.4589370423573+0i,-8.962791567597748+0i
2182.4006550298345+0i,-9.806678196259377+0i
2217.797200174341+0i,-10.964790827108615+0i
2271.9713586298503+0i,-11.60221406710713+0i
2312.951742218981+0i,-12.584543279281275+0i
2386.454072721193+0i,-13.60710773340982+0i
2521.687211100784+0i,-14.61760678946328+0i
2612.0428373805803+0i,-15.46081883040447+0i
2771.878765868406+0i,-15.47044434623239+0i
2858.687269675665+0i,-14.4334488637054+0i
2944.264244243802+0i,-13.425907089636851+0i
3010.7967197349303+0i,-12.29760979723852+0i
3024.282553241403+0i,-11.359367420756136+0i
3055.9848749235784+0i,-10.42859586690448+0i
3092.623227909159+0i,-9.3314432741821+0i
3240.172556011068+0i,-7.78950866456492+0i
3268.846624996293+0i,-5.637053140683818+0i
3305.5738830894443+0i,-6.489898508035928+0i
3528.917706774648+0i,-7.781639830377415+0i
3531.083056931574+0i,-8.708725018780413+0i
3600.133695398874+0i,-6.64710211189243+0i
3826.360236218448+0i,-6.1446295567671285+0i
3828.555595377045+0i,-5.256813745063475+0i
4007.752983445186+0i,-5.213313392265114+0i
4080.042299051311+0i,-4.409671350362551+0i
4209.700264694884+0i,-3.316161836706605+0i
4285.632177739115+0i,-2.7600092748443075+0i
4425.777629421442+0i,-1.4418679522707691+0i
4609.186949480851+0i,-0.047391012633895+0i
4707.327578692083+0i,1.0232809142556434+0i
4856.919782089832+0i,3.0616087573734703+0i
4887.403915859414+0i,3.813580445398962+0i
4922.477279446899+0i,4.532888275356786+0i
