0.336456298828125+0i,411.20165360304-3.59670485989939e-12i
0.67291259765625+0i,411.201653598313-1.193413022592e-11i
1.00936889648438+0i,411.201653590873-2.80829282321083e-11i
1.3458251953125+0i,411.201653580951-5.35950052102831e-11i
1.68228149414062+0i,411.201653568762-9.22694429620198e-11i
2.01873779296875+0i,411.201653556312-1.44925691715285e-10i
2.35519409179688+0i,411.201653543521-2.17548923721717e-10i
2.691650390625+0i,411.201653536238-2.89183899293729e-10i
3.02810668945312+0i,411.201653535619-3.42546287742005e-10i
3.36456298828125+0i,411.20165354222-3.53525440706553e-10i
3.70101928710938+0i,411.201653553253-3.18367930612728e-10i
4.0374755859375+0i,411.201653561284-2.76541091720106e-10i
4.37393188476562+0i,411.201653559403-2.92912232719246e-10i
4.71038818359375+0i,411.201653545757-4.07442586101409e-10i
5.04684448242188+0i,411.201653524945-6.1008101489678e-10i
5.38330078125+0i,411.201653508579-8.06319603595165e-10i
5.71975708007812+0i,411.201653506624-8.75290801094633e-10i
6.05621337890625+0i,411.201653518292-7.88911677437512e-10i
6.39266967773438+0i,411.201653535357-6.13063182575435e-10i
6.7291259765625+0i,411.201653541504-5.40475035694919e-10i
7.06558227539062+0i,411.201653527924-7.27001922570285e-10i
7.40203857421875+0i,411.201653498579-1.17055787766183e-09i
7.73849487304688+0i,411.201653470572-1.66806408630119e-09i
8.074951171875+0i,411.201653466137-1.87834752524111e-09i
8.41140747070312+0i,411.201653494308-1.57366998254996e-09i
8.74786376953125+0i,411.201653532714-1.00291921885123e-09i
9.08432006835938+0i,411.201653541848-7.43504560296284e-10i
9.4207763671875+0i,411.201653483118-1.46873329122706e-09i
9.75723266601562+0i,411.201653344245-3.48884031812432e-09i
10.0936889648438+0i,411.201653157081-6.34130009591168e-09i
10.4301452636719+0i,411.201652994945-8.76648439663581e-09i
10.7666015625+0i,411.201652921776-9.56211997962605e-09i
11.1030578613281+0i,411.201652963427-8.20289517443574e-09i
11.4395141601562+0i,411.201653077989-5.62109135660136e-09i
11.7759704589844+0i,411.201653171484-3.87562391992773e-09i
12.1124267578125+0i,411.201653141168-5.32345339208253e-09i
12.4488830566406+0i,411.201652934398-1.11976463065502e-08i
12.7853393554688+0i,411.201652583968-2.06652605773804e-08i
13.1217956542969+0i,411.201652199741-3.08552590255793e-08i
13.458251953125+0i,411.201651921459-3.80697399524263e-08i
13.7947082519531+0i,411.201651860001-3.93927535363103e-08i
14.1311645507812+0i,411.201652023283-3.46763460169201e-08i
14.4676208496094+0i,411.201652341894-2.60531991704414e-08i
14.8040771484375+0i,411.201652671031-1.77338819467184e-08i
15.1405334472656+0i,411.201652860185-1.40292861298103e-08i
15.4769897460938+0i,411.201652799844-1.79844544578503e-08i
15.8134460449219+0i,411.201652455073-3.02594104962914e-08i
16.14990234375+0i,411.201651857822-4.96459819669902e-08i
16.4863586425781+0i,411.20165110675-7.32315061210157e-08i
16.8228149414062+0i,411.201650325838-9.77139769151836e-08i
17.1592712402344+0i,411.201649686798-1.18568745337175e-07i
17.4957275390625+0i,411.201649311628-1.32466813733022e-07i
17.8321838378906+0i,411.201649307725-1.35956302445863e-07i
18.1686401367188+0i,411.201649706956-1.27128829471029e-07i
18.5050964355469+0i,411.201650440768-1.0689913946487e-07i
18.841552734375+0i,411.201651336423-7.95675497036455e-08i
19.1780090332031+0i,411.201652202076-5.08965430212036e-08i
19.5144653320312+0i,411.201652849597-2.74427377646138e-08i
19.8509216308594+0i,411.201653168528-1.40954047790741e-08i
20.1873779296875+0i,411.201653169173-1.19613437047883e-08i
20.5238342285156+0i,411.201652954561-1.85809219003056e-08i
20.8602905273438+0i,411.201652677973-2.89370462874553e-08i
21.1967468261719+0i,411.201652474332-3.79279396475116e-08i
21.533203125+0i,411.201652413789-4.22197659624006e-08i
